Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОФЗ-ПД 26223 28/02/24,SU26223RMFS6,98.423,19938933,9.92,6.0,––-02-––-––-––-––-––-––-––-––-––-––
ОФЗ-ПД 26227 17/07/24,SU26227RMFS7,97.6,5973197,10.42,10.43,01-––-––-––-––-––-07-––-––-––-––-––
ОФЗ-ПД 26222 16/10/24,SU26222RMFS8,96.63,5447486,10.52,13.06,––-––-––-04-––-––-––-––-––-10-––-––
Сбербанк ПАО 001Р-SBER17,RU000A1025U5,99.3,841196,10.41,1.93,––-––-––-––-––-––-––-––-––-10-––-––
Сбербанк ПАО 001Р-SBER33,RU000A103WV8,98.17,595090,10.91,13.93,––-––-––-––-05-––-––-––-––-––-11-––
Сбербанк ПАО 002Р-green01,RU000A103YM3,99.64,349128,10.88,2.33,––-––-––-––-––-––-––-––-––-––-11-––
Сбербанк ПАО 001Р-SBER19,RU000A102CU4,99.05,274807,10.39,2.56,––-––-––-––-––-––-––-––-––-––-11-––
Сбербанк ПАО 001Р-SBER15,RU000A101C89,98.48,253607,10.59,4.76,01-––-––-––-––-––-––-––-––-––-––-––
ГК Самолет БО-П10,RU000A103L03,98.03,232149,11.8,11.43,––-02-––-––-05-––-––-08-––-––-11-––
Сбербанк ПАО 001Р-SBER24,RU000A102RS6,99.71,209966,9.87,1.16,––-––-––-––-––-––-––-––-––-10-––-––
ГК Самолет БО-П09,RU000A102RX6,99.07,191369,11.48,5.56,––-02-––-––-––-––-––-––-––-––-––-––
Банк ВТБ (ПАО) Б-1-320,RU000A106M25,99.76,109586,9.74,10.56,01-02-03-04-05-06-07-––-09-10-11--12
Сбербанк ПАО 001Р-SBER16,RU000A101QW2,96.53,102126,10.85,8.93,––-––-––-––-05-––-––-––-––-––-––--12
Боржоми Финанс 001P-01,RU000A102SK1,96.92,95923,14.62,5.83,––-02-––-––-––-––-––-08-––-––-––-––
ГК Сегежа 002P-01R,RU000A1041B2,95.78,91759,14.21,13.76,––-––-––-––-05-––-––-––-––-––-11-––
ГПБ (АО) БО-10,RU000A0JUV08,97.26,86302,11.21,12.3,––-––-03-––-––-––-––-––-09-––-––-––
ГК Пионер БО 001P-05,RU000A102KG6,97.51,55881,14.45,7.76,––-––-03-––-––-06-––-––-09-––-––--12
Селектел 001P-01R,RU000A102SG9,98.84,54616,11.36,5.8,––-02-––-––-––-––-––-––-––-––-––-––
Группа ЛСР ПАО БО 001Р-04,RU000A100WA8,98.45,52174,11.87,6.6,––-––-03-––-––-06-––-––-09-––-––--12
КИВИ Финанс 001P-01,RU000A1028C7,99.45,51406,14.29,1.3,––-––-––-––-––-––-––-––-––-10-––-––
АБЗ-1 001Р-01,RU000A102LW1,100.16,48482,11.58,2.33,––-––-––-––-––-––-––-––-09-––-––--12
Брусника 001P-02,RU000A102Y58,98.8,44310,12.27,6.9,01-––-––-04-––-––-––-––-––-10-––-––
Джи-групп 002P-01,RU000A103JR3,101.12,42795,12.36,3.36,––-02-––-––-05-––-––-08-––-––-11-––
ХэндерсонБ01,RU000A103Q08,97.35,42788,14.25,10.76,––-––-03-––-––-06-––-––-09-––-––--12
ВИС ФИНАНС БО-П01,RU000A102952,99.46,41536,14.0,1.53,01-––-––-04-––-––-07-––-––-10-––-––
ИНАРКТИКА 001Р-01,RU000A102TT0,99.1,35128,11.67,5.96,––-––-03-––-––-––-––-––-09-––-––-––
Софтлайн 001P-04,RU000A1029T9,99.01,32479,12.75,3.7,––-––-––-––-––-––-––-––-09-––-––--12
