Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОФЗ-ПД 26222 16/10/24,SU26222RMFS8,96.642,7144908,11.55,10.36,––-––-––-04-––-––-––-––-––-10-––-––
ОФЗ-ПД 26227 17/07/24,SU26227RMFS7,97.56,6803214,12.0,7.3,01-––-––-––-––-––-07-––-––-––-––-––
ОФЗ-ПД 26223 28/02/24,SU26223RMFS6,98.4,5815801,13.85,2.86,––-02-––-––-––-––-––-––-––-––-––-––
Сбербанк ПАО 001Р-SBER33,RU000A103WV8,96.59,852262,13.33,11.3,––-––-––-––-05-––-––-––-––-––-11-––
Автодор ГК БО-005Р-05,RU000A1078L3,99.7,754214,14.8,11.1,––-02-––-––-05-––-––-08-––-––-11-––
Банк ВТБ (ПАО) Б-1-309,RU000A107613,100.07,692964,14.92,10.66,––-02-––-––-05-––-––-08-––-––-11-––
ПАО ЛК Европлан 001P-02,RU000A1034J0,97.98,462234,15.11,3.93,––-02-––-––-05-––-––-––-––-––-––-––
Сбербанк ПАО 001Р-SBER15,RU000A101C89,99.0,399218,13.97,1.63,01-––-––-––-––-––-––-––-––-––-––-––
Сбербанк ПАО 001Р-SBER16,RU000A101QW2,96.48,289286,13.64,5.96,––-––-––-––-05-––-––-––-––-––-––-––
ВЭБ.РФ ПБО-001Р-22,RU000A102FC5,99.93,210564,21.97,0.03,––-––-––-––-––-––-––-––-––-––-––--12
ГК Самолет БО-П10,RU000A103L03,96.52,174267,15.0,8.5,––-02-––-––-05-––-––-08-––-––-––-––
Группа ЛСР ПАО БО 001Р-04,RU000A100WA8,95.39,154927,15.49,9.53,––-––-03-––-––-06-––-––-09-––-––--12
Банк ВТБ (ПАО) Б-1-345,RU000A1078F5,100.07,122179,15.14,5.53,––-02-––-––-05-––-––-––-––-––-––-––
ГК Самолет БО-П09,RU000A102RX6,98.94,120914,14.26,2.43,––-02-––-––-––-––-––-––-––-––-––-––
ПАО НК Роснефть БО-05,RU000A0JUCS1,99.84,109197,14.55,0.23,––-––-––-––-––-––-––-––-––-––-––--12
ГПБ (АО) БО-10,RU000A0JUV08,95.79,99048,13.91,9.66,––-––-03-––-––-––-––-––-09-––-––-––
МВ ФИНАНС 001Р-01,RU000A103117,96.38,92369,22.52,4.53,––-––-––-04-––-––-––-––-––-––-––-––
Автодор ГК БО-006Р-01,RU000A106XP1,100.25,88197,14.77,9.1,01-––-––-04-––-06-––-––-09-––-––-––
Селектел 001P-01R,RU000A102SG9,98.75,67343,15.36,2.66,––-02-––-––-––-––-––-––-––-––-––-––
Хэдхантер 001P-01R,RU000A102GY7,99.71,66566,24.36,0.23,––-––-––-––-––-––-––-––-––-––-––--12
Банк ВТБ (ПАО) Б-1-318,RU000A105ZN3,98.4,61733,14.31,3.6,01-02-03-––-––-––-––-––-––-––-––--12
Банк ВТБ (ПАО) Б-1-319,RU000A106DN8,97.2,58388,14.21,6.33,01-02-03-04-05-06-––-––-––-––-––--12
ГПБ (АО) БО-17,RU000A0ZYEE5,95.94,56008,13.76,10.83,––-––-––-04-––-––-––-––-––-10-––-––
Мобильные ТелеСистемы 001P-22,RU000A1051T3,96.86,54991,13.74,7.86,––-02-––-––-05-––-––-08-––-––-––-––
ЛЕГЕНДА БО 001P-04,RU000A102Y66,93.97,54245,19.4,9.6,01-––-––-04-––-––-07-––-––-10-––-––
ГК Пионер БО 001P-05,RU000A102KG6,96.8,54144,16.74,6.26,––-––-03-––-––-06-––-––-09-––-––--12
ФПК Гарант-Инвест БО 001P-05,RU000A1005T9,99.19,50202,16.26,2.53,01-––-––-––-––-––-––-––-––-––-––-––
MT-FREE-02,RU000A102DK3,96.06,49463,20.56,5.63,––-––-––-––-05-––-––-––-––-––-––-––
АБЗ-1 001Р-01,RU000A102LW1,100.02,45720,12.23,0.7,––-––-––-––-––-––-––-––-––-––-––--12
Экспобанк 001P-01,RU000A103RT2,96.02,45050,15.7,9.43,––-––-03-––-––-06-––-––-09-––-––--12
Балтийский лизинг ООО БО-П04,RU000A103M10,97.03,43001,16.08,5.76,––-02-––-––-05-––-––-08-––-––-––-––
Брусника 001P-02,RU000A102Y58,98.07,42441,17.15,3.9,01-––-––-04-––-––-––-––-––-––-––-––
ГМК Нор.никель БО-001P-01,RU000A100VQ6,95.4,40434,13.65,9.63,––-––-03-––-––-––-––-––-09-––-––-––
Сэтл-Групп ООО БО-001P-03,RU000A1030X9,98.08,39328,14.66,4.43,01-––-––-04-––-––-––-––-––-––-––-––
ЯТЭК 001Р-02,RU000A102ZH2,95.18,35964,15.6,11.2,––-––-––-04-––-––-––-––-––-10-––-––
Софтлайн 001P-04,RU000A1029T9,99.48,31892,19.03,0.63,––-––-––-––-––-––-––-––-––-––-––--12
