Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОФЗ-ПД 26227 17/07/24,SU26227RMFS7,97.952,10784064,14.8,3.73,––-––-––-––-––-––-07-––-––-––-––-––
ОФЗ-ПД 26222 16/10/24,SU26222RMFS8,96.326,1987169,14.73,6.56,––-––-––-04-––-––-––-––-––-10-––-––
ГосТранспортЛизингКомп 001P-03,RU000A0JXE06,100.38,669356,15.62,1.2,––-––-––-––-––-––-––-––-––-––-––-––
Сбербанк ПАО 001Р-SBER16,RU000A101QW2,98.49,179066,15.25,2.16,––-––-––-––-05-––-––-––-––-––-––-––
ГК Самолет БО-П10,RU000A103L03,97.56,178700,16.44,4.83,––-––-––-––-05-––-––-08-––-––-––-––
МОСКОВСКИЙ КРЕДИТНЫЙ БАНК 1P3,RU000A103FP5,97.6,171712,16.62,3.93,––-––-––-––-––-––-07-––-––-––-––-––
МВ ФИНАНС 001Р-02,RU000A103HT3,96.35,158157,20.25,4.36,––-––-––-––-05-––-––-08-––-––-––-––
Банк ВТБ (ПАО) Б-1-348,RU000A107U16,100.11,125356,15.91,4.83,––-––-––-––-05-––-––-08-––-––-––-––
Группа ЛСР ПАО БО 001Р-04,RU000A100WA8,96.45,81736,17.05,5.93,––-––-03-––-––-06-––-––-09-––-––-––
МВ ФИНАНС 001Р-01,RU000A103117,99.58,80872,22.71,0.73,––-––-––-04-––-––-––-––-––-––-––-––
ПИК-Корпорация 001Р-02,RU000A1016Z3,96.68,65518,16.89,5.46,––-––-––-––-––-06-––-––-09-––-––--12
ГК Пионер БО 001P-05,RU000A102KG6,97.13,60966,17.3,5.73,––-––-––-––-––-06-––-––-09-––-––--12
ЛЕГЕНДА БО 001P-04,RU000A102Y66,95.73,50705,20.36,6.0,01-––-––-04-––-––-07-––-––-10-––-––
Банк ВТБ (ПАО) Б-1-350,RU000A107JH5,100.02,38795,15.69,3.4,––-––-––-04-––-––-07-––-––-––-––-––
Брусника 001P-02,RU000A102Y58,99.89,38734,17.92,0.16,––-––-––-04-––-––-––-––-––-––-––-––
Автодор ГК БО-006Р-01,RU000A106XP1,99.7,33829,15.47,5.66,––-––-––-04-––-06-––-––-09-––-––-––
ПАО ЛК Европлан 001P-01,RU000A102RU2,98.02,31909,15.78,3.06,––-––-––-––-05-––-––-08-––-––-––-––
MT-FREE-02,RU000A102DK3,98.48,30903,22.43,1.83,––-––-––-––-05-––-––-––-––-––-––-––
АЛЬФА-БАНК Б2Р12,RU000A1036E6,98.5,29084,15.61,2.29,––-––-––-––-––-06-––-––-––-––-––-––
