Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОФЗ-ПД 26227 17/07/24,SU26227RMFS7,99.406,1134372,8.14,12.2,01-––-––-––-––-––-07-––-––-––-––-––
ПАО НК Роснефть БО-05,RU000A0JUCS1,100.0,434228,8.44,5.53,––-––-––-––-––-––-––-––-––-––-––--12
Сбербанк ПАО 001Р-SBER17,RU000A1025U5,99.3,261399,8.03,4.09,––-––-––-––-––-––-––-––-––-10-––-––
Сбербанк ПАО 001Р-SBER16,RU000A101QW2,97.82,241737,8.36,11.1,––-––-––-––-05-––-––-––-––-––-––--12
Сбербанк ПАО 001Р-SBER15,RU000A101C89,99.0,222096,8.32,6.73,01-––-––-––-––-––-07-––-––-––-––-––
Сбербанк ПАО 002Р-green01,RU000A103YM3,100.25,171095,8.1,4.5,––-––-––-––-––-––-––-––-––-––-11-––
Сбербанк ПАО 001Р-SBER24,RU000A102RS6,99.73,153744,8.1,3.33,––-––-––-––-––-––-––-––-––-10-––-––
Группа ЛСР ПАО БО 001Р-04,RU000A100WA8,98.34,145420,11.36,8.6,––-––-03-––-––-06-––-––-09-––-––--12
РЕСО-Лизинг ООО БО-П-06,RU000A100PE4,100.05,132412,9.27,1.13,––-––-––-––-––-––-––-08-––-––-––-––
ГК Самолет БО-П09,RU000A102RX6,99.95,127438,9.33,7.46,––-02-––-––-––-––-––-08-––-––-––-––
МВ ФИНАНС 001Р-01,RU000A103117,101.27,115667,10.18,9.53,––-––-––-04-––-––-––-––-––-10-––-––
ГК Пионер БО 001P-04,RU000A1016F5,100.32,108607,10.04,4.03,––-––-––-––-––-––-––-––-09-––-––--12
ПИК-Корпорация 001Р-02,RU000A1016Z3,98.95,94958,9.84,11.2,––-––-03-––-––-06-––-––-09-––-––--12
АБЗ-1 001Р-01,RU000A102LW1,100.59,89515,10.74,4.5,––-––-––-––-––-––-––-––-09-––-––--12
ГПБ (АО) БО 001Р-13Р,RU000A100VR4,99.8,78256,8.08,3.13,––-––-––-––-––-––-––-––-09-––-––-––
ФПК Гарант-Инвест БО 001P-05,RU000A1005T9,100.05,69657,12.02,4.59,01-––-––-––-––-––-07-––-––-10-––-––
ГК Пионер БО 001P-05,RU000A102KG6,98.45,56965,12.42,9.96,––-––-03-––-––-06-––-––-09-––-––--12
Синара Транспортные Машины 1P1,RU000A1035D0,99.04,45610,9.47,10.8,––-––-––-––-05-––-––-––-––-––-11-––
КИВИ Финанс 001P-01,RU000A1028C7,99.78,39630,10.31,3.4,––-––-––-––-––-––-07-––-––-10-––-––
Брусника 001P-02,RU000A102Y58,99.26,38309,10.9,8.83,01-––-––-04-––-––-07-––-––-10-––-––
Софтлайн 001P-04,RU000A1029T9,99.56,34559,10.25,5.86,––-––-––-––-––-––-––-––-09-––-––--12
ИНАРКТИКА 001Р-01,RU000A102TT0,99.92,31642,9.76,8.13,––-––-03-––-––-––-––-––-09-––-––-––
ОКЕЙ ООО БО 001Р-03,RU000A1014B9,98.61,21997,10.18,9.26,––-02-––-––-05-––-––-08-––-––-11-––
