Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ВЭБ.РФ ПБО-001Р-22,RU000A102FC5,98.02,1095734,8.38,10.53,––-––-––-––-––-06-––-––-––-––-––--12
Республика Казахстан 01,RU000A101RP4,98.1,532983,8.66,8.0,––-––-03-––-––-––-––-––-09-––-––-––
Сбербанк ПАО 001Р-SBER15,RU000A101C89,98.34,129350,8.2,11.73,01-––-––-––-––-––-07-––-––-––-––-––
РОСНАНО АО БО-002P-05,RU000A102HB3,85.9,97608,26.8,10.73,––-––-––-––-––-06-––-––-––-––-––--12
ГК Самолет БО-П09,RU000A102RX6,98.2,88234,11.1,12.3,––-02-––-––-––-––-––-08-––-––-––-––
Сбербанк ПАО 001Р-SBER17,RU000A1025U5,98.23,86828,8.19,9.3,––-––-––-04-––-––-––-––-––-10-––-––
Сбербанк ПАО 001Р-SBER24,RU000A102RS6,99.04,81850,8.25,8.5,––-––-––-04-––-––-––-––-––-10-––-––
Ритейл Бел Финанс 01,RU000A100JH0,100.08,73516,10.92,11.06,01-––-––-04-––-––-07-––-––-10-––-––
ФПК Гарант-Инвест БО 001P-05,RU000A1005T9,99.66,68411,13.6,8.8,01-––-––-04-––-––-07-––-––-10-––-––
КИВИ Финанс 001P-01,RU000A1028C7,99.2,58627,10.09,8.63,––-––-––-04-––-––-07-––-––-10-––-––
АБЗ-1 001Р-01,RU000A102LW1,99.76,55909,13.65,6.66,––-––-03-––-––-06-––-––-09-––-––--12
РЕСО-Лизинг ООО БО-П-06,RU000A100PE4,99.6,50547,9.85,6.23,01-––-––-––-––-––-––-08-––-––-––-––
Сбербанк ПАО 001Р-SBER19,RU000A102CU4,98.0,47990,8.02,9.93,––-––-––-––-05-––-––-––-––-––-11-––
ГК Пионер БО 001P-04,RU000A1016F5,99.19,39030,12.79,6.2,––-––-03-––-––-06-––-––-09-––-––--12
Хэдхантер 001P-01R,RU000A102GY7,98.0,34181,9.35,10.6,––-––-03-––-––-06-––-––-09-––-––--12
ИНАРКТИКА 001Р-01,RU000A102TT0,99.3,34125,10.52,12.96,––-––-03-––-––-––-––-––-09-––-––-––
ОКЕЙ ООО БО 001Р-03,RU000A1014B9,97.82,29967,10.52,11.3,––-02-––-––-05-––-––-08-––-––-11-––
СофтЛайн Трейд 001P-04,RU000A1029T9,98.5,28958,11.2,10.9,––-––-03-––-––-06-––-––-09-––-––--12
ЯТЭК 001Р-01,RU000A102B48,99.23,28071,9.26,9.3,––-––-––-––-05-––-––-––-––-10-––-––
Селектел 001P-01R,RU000A102SG9,99.05,26988,9.5,12.6,––-02-––-––-––-––-––-08-––-––-––-––
АЛЬФА-БАНК Б2Р9,RU000A102JZ8,97.95,21410,8.33,11.16,––-––-––-––-––-06-––-––-––-––-––--12
ВсеИнструменты.ру ООО БО-03,RU000A102M86,98.8,19034,10.57,11.0,––-––-03-––-––-06-––-––-09-––-––--12
Агрофирма-племзавод Победа 1Р1,RU000A102S23,95.81,13535,14.8,12.36,––-02-––-––-05-––-––-08-––-––-11-––
ТФН 01,RU000A102QY6,97.87,7692,17.09,6.96,––-02-––-––-05-––-––-08-––-––-11-––
