Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОФЗ-ПД 26223 28/02/24,SU26223RMFS6,97.81,18833938,11.89,5.3,––-02-––-––-––-––-––-––-––-––-––-––
ОФЗ-ПД 26222 16/10/24,SU26222RMFS8,95.4,4316253,11.92,12.36,––-––-––-04-––-––-––-––-––-10-––-––
ОФЗ-ПД 26227 17/07/24,SU26227RMFS7,96.606,3764552,11.91,9.73,01-––-––-––-––-––-07-––-––-––-––-––
Сбербанк ПАО 001Р-SBER15,RU000A101C89,98.3,229980,11.9,4.06,01-––-––-––-––-––-––-––-––-––-––-––
ГК Самолет БО-П10,RU000A103L03,97.1,213418,13.15,10.73,––-02-––-––-05-––-––-08-––-––-11-––
МВ ФИНАНС 001Р-01,RU000A103117,96.5,128762,18.42,6.63,––-––-––-04-––-––-––-––-––-10-––-––
ГК Самолет БО-П09,RU000A102RX6,98.59,127594,13.15,4.86,––-02-––-––-––-––-––-––-––-––-––-––
ХэндерсонБ01,RU000A103Q08,97.42,93853,14.35,10.06,––-––-03-––-––-06-––-––-09-––-––--12
Сбербанк ПАО 001Р-SBER16,RU000A101QW2,96.26,90482,11.73,8.23,––-––-––-––-05-––-––-––-––-––-––--12
Мобильные ТелеСистемы 001P-22,RU000A1051T3,96.99,85405,12.57,10.13,––-02-––-––-05-––-––-08-––-––-11-––
ГК Пионер БО 001P-05,RU000A102KG6,97.51,73227,14.03,8.73,––-––-03-––-––-06-––-––-09-––-––--12
РОСНАНО АО БО-002P-04,RU000A101KK0,95.45,57357,17.24,6.03,––-––-03-––-––-––-––-––-09-––-––--12
MT-FREE-02,RU000A102DK3,96.04,27380,16.88,7.76,––-––-––-––-05-––-––-––-––-––-11-––
