Полное наименование,Код ценной бумаги,Нужна квалификация?,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОФЗ-ПД 26234 16/07/2025,SU26234RMFS3,нет,90.671,4638411,21.96,7.56,01-––-––-––-––-––-07-––-––-––-––-––
ОФЗ-ПД 26229 12/11/25,SU26229RMFS3,нет,88.5,2671010,22.09,11.43,––-––-––-––-05-––-––-––-––-––-11-––
Сбербанк ПАО 002Р-SBER44,RU000A1069P3,нет,87.2,507724,20.6,17.33,––-––-––-––-05-––-––-––-––-––-11-––
ГК Самолет БО-П12,RU000A104YT6,нет,89.55,486115,36.68,7.23,01-––-––-04-––-––-07-––-––-––-––-––
Республика Беларусь 07,RU000A100D89,нет,94.83,393899,23.02,5.16,––-––-––-––-05-––-––-––-––-––-––-––
Банк ВТБ (ПАО) Б-1-343,RU000A106TM6,да,98.9,258793,24.07,17.8,01-02-03-04-05-06-07-08-09-10-11--12
Группа ЛСР ПАО БО 001Р-07,RU000A103PX8,нет,78.7,195054,33.0,13.96,––-––-03-––-––-06-––-––-09-––-––--12
ХКФ Банк ООО БО-04,RU000A103760,нет,81.03,151511,25.4,16.96,––-––-03-––-––-06-––-––-09-––-––--12
ЕвроХим МХК АО БО-001Р-08,RU000A101LJ0,нет,94.75,126357,24.46,4.63,––-––-––-04-––-––-––-––-––-––-––-––
Банк ВТБ (ПАО) Б-1-364,RU000A109ZK1,нет,100.03,115185,22.69,10.4,01-––-––-––-05-––-––-08-––-10-––-––
ЯТЭК 001Р-02,RU000A102ZH2,нет,95.22,104508,25.06,4.36,––-––-––-04-––-––-––-––-––-––-––-––
ГруппаЧеркизово БО-001Р-05,RU000A105C28,нет,88.49,100103,27.02,10.53,01-––-––-04-––-––-07-––-––-10-––-––
ВУШ БО 001P-02,RU000A106HB4,нет,80.72,96228,29.94,17.39,01-––-––-04-––-––-07-––-––-10-––-––
ГТЛК БО 001P-15,RU000A100Z91,нет,86.4,94424,27.48,10.56,01-––-––-04-––-––-07-––-––-10-––-––
Аэрофлот-росс.авиалин.ПАО БО-1,RU000A103943,нет,82.55,92354,23.93,17.26,––-––-03-––-––-06-––-––-09-––-––--12
Каршеринг Руссия 001P-02,RU000A106A86,нет,82.57,79500,30.34,16.53,––-02-––-––-05-––-––-08-––-––-11-––
Банк ВТБ (ПАО) Б-1-363,RU000A109ZJ3,нет,100.05,79103,22.52,5.03,01-––-––-––-05-––-––-––-––-––-––-––
ВТБ Лизинг 001Р-МБ-02,RU000A109X45,нет,100.02,71156,23.72,10.1,01-02-03-04-05-06-07-08-09-10-11--12
Селектел 001P-04R,RU000A1089J4,нет,91.37,69760,24.97,14.7,01-02-03-04-05-06-07-08-09-10-11--12
Интерлизинг 001Р-07,RU000A1077X0,нет,89.75,68414,32.69,10.3,01-02-03-04-05-06-07-08-09-10-11--12
ФПК Гарант-Инвест БО 002Р-08,RU000A107TR3,нет,84.56,67941,39.51,13.06,01-02-03-04-05-06-07-08-09-10-11--12
ЕвроТранс БО-001Р-02,RU000A105TS5,нет,86.04,57777,31.38,12.9,01-02-03-04-05-06-07-08-09-10-11--12
Группа ЛСР ПАО БО 001Р-08,RU000A106888,нет,81.5,55437,31.96,16.23,––-02-––-––-05-––-––-08-––-––-11-––
АБЗ-1 001P-05,RU000A1070X5,нет,81.53,52000,37.44,13.1,01-02-03-04-05-06-07-08-09-10-11--12
ВУШ БО 001P-01,RU000A104WS2,нет,93.3,50943,29.12,6.7,––-––-03-––-––-06-––-––-––-––-––--12
Интерлизинг 001Р-06,RU000A106SF2,нет,84.7,50204,34.09,12.36,––-02-––-––-05-––-––-08-––-––-11-––
Сэтл-Групп ООО БО 002P-02,RU000A105X64,нет,83.18,44455,31.63,13.96,––-––-03-––-––-06-––-––-09-––-––--12
ПАО ТГК-14 001Р-01,RU000A1066J2,нет,87.2,41535,27.38,15.7,01-––-––-04-05-––-07-––-––-10-––-––
