Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОФЗ-ПД 26234 16/07/2025,SU26234RMFS3,89.196,7372164,14.54,14.93,01-––-––-––-––-––-07-––-––-––-––-––
ОФЗ-ПД 26222 16/10/24,SU26222RMFS8,96.788,2123150,14.11,6.06,––-––-––-04-––-––-––-––-––-10-––-––
ОФЗ-ПК 29006 29/01/25,SU29006RMFS2,100.967,1253199,13.78,9.36,––-––-––-––-––-––-07-––-––-––-––-––
ООО «СФО ВТБ РКС-1 »,RU000A1032P1,89.17,563533,18.0,15.96,––-––-––-––-––-––-––-––-––-––-––-––
Сбербанк ПАО 001Р-SBER42,RU000A105SD9,95.09,550643,15.47,10.56,––-––-03-––-––-––-––-––-09-––-––-––
Сбербанк ПАО 001Р-SBER33,RU000A103WV8,96.5,290673,15.71,7.0,––-––-––-––-05-––-––-––-––-––-11-––
Уралкалий ПАО ПБО-06-P,RU000A101GZ6,93.4,266211,15.72,10.46,––-02-––-––-––-––-––-08-––-––-––-––
МВ ФИНАНС 001Р-03,RU000A104ZK2,92.08,204226,20.95,14.2,01-––-––-04-––-––-07-––-––-10-––-––
ГК Самолет БО-П12,RU000A104YT6,97.89,142725,16.01,13.76,01-––-––-04-––-––-07-––-––-10-––-––
Балтийский лизинг ООО БО-П08,RU000A106EM8,93.9,138476,17.77,13.3,01-02-––-04-05-06-07-08-09-10-11--12
ФПК Гарант-Инвест БО 002Р-07,RU000A106SK2,98.25,105783,20.62,10.53,01-02-03-04-05-06-07-08-09-10-11--12
Интерлизинг 001Р-07,RU000A1077X0,100.44,82945,16.79,16.56,01-02-03-04-05-06-07-08-09-10-11--12
СОЛНЕЧНЫЙ СВЕТ 001Р-01,RU000A1074Q1,99.72,72893,16.65,11.43,01-02-03-04-05-06-07-08-09-10-11--12
Эталон-Финанс АО БО-П03,RU000A103QH9,91.07,64456,17.41,16.0,––-––-03-––-––-06-––-––-09-––-––--12
Республика Беларусь 07,RU000A100D89,92.4,61472,17.2,12.06,––-––-––-––-05-––-––-––-––-10-––-––
Брусника 002Р-01,RU000A1048A9,97.04,54896,16.41,9.16,––-––-03-––-––-06-––-––-09-––-––--12
Техпорт.ру БО-03,RU000A1083C2,100.02,50527,21.93,15.63,01-02-03-04-05-06-07-08-09-10-11--12
Селигдар 001Р-01,RU000A105CS1,93.64,47486,16.11,17.0,––-––-––-04-05-––-––-––-––-10-––-––
ВУШ БО 001P-01,RU000A104WS2,98.2,41910,16.06,13.7,––-––-03-––-––-06-––-––-09-––-––--12
ОФЗ-АД 46023 23/07/26,SU46023RMFS6,93.747,41460,13.21,17.1,––-––-––-––-––-––-––-––-––-––-––-––
