Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОФЗ-ПД 26223 28/02/24,SU26223RMFS6,98.299,20805150,10.34,6.06,––-02-––-––-––-––-––-08-––-––-––-––
ОФЗ-ПД 25084 04/10/23,SU25084RMFS3,99.719,14478097,8.49,1.16,––-––-––-––-––-––-––-––-––-10-––-––
ОФЗ-ПД 26227 17/07/24,SU26227RMFS7,97.684,6198562,10.43,10.5,01-––-––-––-––-––-07-––-––-––-––-––
ОФЗ-ПД 26222 16/10/24,SU26222RMFS8,96.7,5361872,10.4,13.13,––-––-––-04-––-––-––-––-––-10-––-––
Сбербанк ПАО 001Р-SBER17,RU000A1025U5,99.26,848807,10.25,2.0,––-––-––-––-––-––-––-––-––-10-––-––
Сбербанк ПАО 001Р-SBER33,RU000A103WV8,98.25,575085,10.73,14.0,––-––-––-––-05-––-––-––-––-––-11-––
Сбербанк ПАО 002Р-green01,RU000A103YM3,99.75,413880,10.61,2.4,––-––-––-––-––-––-––-––-––-––-11-––
Сбербанк ПАО 001Р-SBER15,RU000A101C89,98.47,314178,11.01,4.83,01-––-––-––-––-––-––-––-––-––-––-––
Сбербанк ПАО 001Р-SBER19,RU000A102CU4,99.09,293066,10.52,2.63,––-––-––-––-––-––-––-––-––-––-11-––
Сбербанк ПАО 001Р-SBER24,RU000A102RS6,99.69,274788,10.97,1.23,––-––-––-––-––-––-––-––-––-10-––-––
ГК Самолет БО-П10,RU000A103L03,98.48,236101,11.83,11.5,––-02-––-––-05-––-––-08-––-––-11-––
ГПБ (АО) БО 001Р-13Р,RU000A100VR4,99.68,193757,11.29,1.03,––-––-––-––-––-––-––-––-09-––-––-––
ГК Самолет БО-П09,RU000A102RX6,99.15,184663,11.39,5.63,––-02-––-––-––-––-––-––-––-––-––-––
Сбербанк ПАО 001Р-SBER16,RU000A101QW2,96.67,151286,10.58,9.0,––-––-––-––-05-––-––-––-––-––-––--12
Банк ВТБ (ПАО) Б-1-320,RU000A106M25,99.61,121222,10.32,10.63,01-02-03-04-05-06-07-––-09-10-11--12
Селектел 001P-01R,RU000A102SG9,98.9,68754,11.12,5.86,––-02-––-––-––-––-––-––-––-––-––-––
Группа ЛСР ПАО БО 001Р-04,RU000A100WA8,98.31,66131,11.95,6.7,––-––-03-––-––-06-––-––-09-––-––--12
ГК Пионер БО 001P-05,RU000A102KG6,97.83,64133,13.39,7.83,––-––-03-––-––-06-––-––-09-––-––--12
Джи-групп 002P-01,RU000A103JR3,101.06,57977,12.64,3.43,––-02-––-––-05-––-––-08-––-––-11-––
КИВИ Финанс 001P-01,RU000A1028C7,99.62,55596,12.91,1.36,––-––-––-––-––-––-––-––-––-10-––-––
ГК Пионер БО 001P-04,RU000A1016F5,99.87,53799,12.9,1.9,––-––-––-––-––-––-––-––-09-––-––--12
ХэндерсонБ01,RU000A103Q08,97.65,52823,14.37,10.83,––-––-03-––-––-06-––-––-09-––-––--12
Брусника 001P-02,RU000A102Y58,98.64,52261,12.37,6.96,01-––-––-04-––-––-––-––-––-10-––-––
АБЗ-1 001Р-01,RU000A102LW1,100.07,50746,11.82,2.36,––-––-––-––-––-––-––-––-09-––-––--12
ИНАРКТИКА 001Р-01,RU000A102TT0,99.2,47142,11.37,6.03,––-––-03-––-––-––-––-––-09-––-––-––
Банк ВТБ (ПАО) Б-1-318,RU000A105ZN3,98.94,43802,10.53,6.7,01-02-03-––-––-––-––-––-09-10-11--12
ГПБ (АО) БО-17,RU000A0ZYEE5,97.4,41211,11.1,13.53,––-––-––-04-––-––-––-––-––-10-––-––
Софтлайн 001P-04,RU000A1029T9,99.24,38788,11.36,3.76,––-––-––-––-––-––-––-––-09-––-––--12
