Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОФЗ-ПД 26234 16/07/2025,SU26234RMFS3,89.45,6210971,15.46,13.4,01-––-––-––-––-––-07-––-––-––-––-––
ОФЗ-ПД 26229 12/11/25,SU26229RMFS3,90.436,5665025,15.17,17.13,––-––-––-––-05-––-––-––-––-––-11-––
ООО «СФО ВТБ РКС-1 »,RU000A1032P1,88.6,397261,19.85,14.53,––-––-––-––-––-––-––-––-––-––-––-––
ОФЗ-ПК 29006 29/01/25,SU29006RMFS2,100.552,344872,14.06,7.83,––-––-––-––-––-––-07-––-––-––-––-––
Сбербанк ПАО 001Р-SBER42,RU000A105SD9,95.27,166858,16.26,9.03,––-––-03-––-––-––-––-––-09-––-––-––
МВ ФИНАНС 001Р-03,RU000A104ZK2,92.32,110288,21.97,13.1,01-––-––-04-––-––-07-––-––-10-––-––
Интерлизинг 001Р-07,RU000A1077X0,98.46,102932,19.06,15.36,01-02-03-04-05-06-07-08-09-10-11--12
ГК Самолет БО-П12,RU000A104YT6,96.47,97036,18.0,12.7,01-––-––-04-––-––-07-––-––-10-––-––
Интерлизинг 001Р-06,RU000A106SF2,94.0,52871,19.1,17.83,––-02-––-––-05-––-––-08-––-––-11-––
ЕвроТранс БО-001Р-01,RU000A105PP9,96.35,51088,18.09,16.96,––-––-––-––-––-06-07-08-––-––-––-––
Республика Беларусь 07,RU000A100D89,93.03,44691,17.76,11.03,––-––-––-––-05-––-––-––-––-10-––-––
МСБ-Лизинг 003P-03,RU000A108AJ8,99.95,36868,19.6,17.13,01-02-03-04-05-06-07-08-09-10-11--12
ОФЗ-АД 46023 23/07/26,SU46023RMFS6,92.844,36441,14.35,15.5,––-––-––-––-––-––-––-––-––-––-––-––
Эталон-Финанс АО БО-П03,RU000A103QH9,90.29,32086,19.2,14.36,––-––-03-––-––-06-––-––-09-––-––--12
Русская Контейнерная Компания,RU000A105VP7,97.6,31135,22.68,14.76,––-02-––-––-05-––-––-08-––-––-11-––
