Полное наименование,Код ценной бумаги,Нужна квалификация?,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОФЗ-ПД 26234 16/07/2025,SU26234RMFS3,нет,93.773,8396296,19.87,5.6,––-––-––-––-––-––-07-––-––-––-––-––
Российские ЖД ОАО БО-02,RU000A0JVW71,нет,99.42,3279667,22.86,8.1,––-––-––-04-––-––-––-––-––-10-––-––
ОФЗ-ПД 26229 12/11/25,SU26229RMFS3,нет,91.959,1235684,19.18,9.33,––-––-––-––-05-––-––-––-––-––-11-––
Уральская Сталь БО-001Р-02,RU000A1066A1,нет,83.35,653469,29.59,14.16,01-––-––-04-––-––-07-––-––-10-––-––
Борец Капитал 001Р-01,RU000A105ZX2,нет,86.9,349842,27.96,12.86,––-––-03-––-––-06-––-––-09-––-––--12
Сбербанк ПАО 002Р-SBER44,RU000A1069P3,нет,88.29,255290,20.99,15.23,––-––-––-––-05-––-––-––-––-––-11-––
Сбербанк ПАО 001Р-SBER25,RU000A102YG7,нет,87.43,195554,20.89,13.8,––-––-––-04-––-––-––-––-––-10-––-––
ОФЗ-АД 46023 23/07/26,SU46023RMFS6,нет,90.927,194613,16.26,17.26,01-––-––-––-––-––-07-––-––-––-––-––
Каршеринг Руссия 001P-02,RU000A106A86,нет,86.55,173638,27.52,14.46,––-02-––-––-05-––-––-08-––-––-11-––
ГТЛК БО 001P-15,RU000A100Z91,нет,90.27,169698,24.56,8.66,––-––-––-04-––-––-07-––-––-10-––-––
ХКФ Банк ООО БО-04,RU000A103760,нет,91.39,166310,15.41,15.33,––-––-03-––-––-06-––-––-09-––-––--12
Банк ВТБ (ПАО) Б-1-343,RU000A106TM6,да,98.76,143281,24.26,16.33,01-02-03-04-05-06-07-08-09-10-11--12
Промсвязьбанк 003P-10,RU000A10AC83,нет,101.7,138108,22.57,10.46,01-02-03-04-05-06-07-08-09-10-11--12
РусГидро БО-002Р-04,RU000A10A8H1,нет,105.89,131714,19.82,14.66,01-02-03-04-05-06-07-08-09-10-11--12
МВ ФИНАНС 001Р-03,RU000A104ZK2,нет,92.83,116922,37.19,5.7,––-––-––-04-––-––-07-––-––-––-––-––
Аэрофлот-росс.авиалин.ПАО БО-1,RU000A103943,нет,85.08,114907,22.85,15.6,––-––-03-––-––-06-––-––-09-––-––--12
КАМАЗ ПАО БО-П11,RU000A107MM9,нет,93.96,101731,23.67,11.26,01-––-––-04-––-––-07-––-––-10-––-––
Адм. г.Томск 34009,RU000A10A6J1,нет,106.88,74762,22.59,15.0,01-02-03-04-05-06-07-08-09-10-11--12
Банк ВТБ (ПАО) Б-1-364,RU000A109ZK1,нет,99.99,72026,22.6,8.3,01-––-––-––-05-––-––-08-––-10-––-––
Селектел 001P-04R,RU000A1089J4,нет,93.98,56775,22.76,13.0,01-02-03-04-05-06-07-08-09-10-11--12
Селектел 001P-03R,RU000A106R95,нет,89.33,52320,23.31,16.39,––-02-––-––-––-––-––-08-––-––-––-––
Республика Кыргызстан 02,KG000A3LSJ06,нет,94.37,50908,23.39,10.4,––-––-03-––-––-06-––-––-09-––-––--12
Сибирское Стекло БО-П03,RU000A105C93,нет,99.94,49944,31.31,7.33,––-02-03-04-05-06-07-08-09-10-––-––
ЕвроТранс БО-001Р-01,RU000A105PP9,нет,93.03,49700,25.11,9.93,––-02-03-04-05-06-07-08-09-10-11--12
ВУШ БО 001P-02,RU000A106HB4,нет,85.45,49450,26.21,15.93,01-––-––-04-––-––-07-––-––-10-––-––
Интерлизинг 001Р-07,RU000A1077X0,нет,91.45,48003,31.15,9.5,01-02-03-04-05-06-07-08-09-10-11--12
Республика Беларусь 07,RU000A100D89,нет,96.23,46532,26.37,3.06,––-––-––-––-05-––-––-––-––-––-––-––
ПАО ТГК-14 001Р-01,RU000A1066J2,нет,90.49,45993,25.11,13.63,01-––-––-04-05-––-07-––-––-10-––-––
Джи-групп 002P-03,RU000A106Z38,нет,91.01,45161,29.52,10.43,––-––-03-04-––-06-07-––-09-––-––--12
Сэтл-Групп ООО БО 002P-02,RU000A105X64,нет,87.98,44169,27.71,12.4,––-––-03-––-––-06-––-––-09-––-––--12
АБЗ-1 001P-05,RU000A1070X5,нет,87.16,42827,31.9,11.46,01-02-03-04-05-06-07-08-09-10-11--12
ВУШ БО 001P-01,RU000A104WS2,нет,96.49,42677,25.0,4.8,––-––-03-––-––-06-––-––-––-––-––-––
РусГидро БО-002Р-03,RU000A10A6C6,нет,105.8,38245,19.59,13.96,01-02-03-04-05-06-07-08-09-10-11--12
Интерлизинг 001Р-06,RU000A106SF2,нет,88.92,37788,30.65,10.33,––-02-––-––-05-––-––-08-––-––-11-––
Ростелеком ПАО 002P-14R,RU000A1085D5,нет,95.1,31080,20.79,13.2,––-––-––-04-––-––-07-––-––-10-––--12
РОЛЬФ БО 001Р-05,RU000A10A6U8,нет,105.32,29631,22.8,13.76,01-02-03-04-05-06-07-08-09-10-11--12
ВИС ФИНАНС БО-П04,RU000A106EZ0,нет,85.29,28701,26.67,16.96,––-02-––-––-05-––-––-08-––-––-11-––
