Полное наименование,Код ценной бумаги,Нужна квалификация?,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОФЗ-ПД 26234 16/07/2025,SU26234RMFS3,нет,90.206,2628303,18.82,9.96,01-––-––-––-––-––-07-––-––-––-––-––
ОФЗ-ПК 29006 29/01/25,SU29006RMFS2,нет,99.85,1819669,18.58,4.5,01-––-––-––-––-––-––-––-––-––-––-––
ОФЗ-ПД 26229 12/11/25,SU26229RMFS3,нет,89.447,1190145,18.61,13.4,––-––-––-––-05-––-––-––-––-––-11-––
Сбербанк ПАО 001Р-SBER42,RU000A105SD9,нет,96.04,342515,19.51,5.56,––-––-03-––-––-––-––-––-––-––-––-––
ГК Самолет БО-П12,RU000A104YT6,нет,94.41,137129,22.4,9.33,01-––-––-04-––-––-07-––-––-10-––-––
Уралкалий ПАО ПБО-06-P,RU000A101GZ6,нет,94.77,127119,20.6,5.4,––-02-––-––-––-––-––-––-––-––-––-––
КАМАЗ ПАО БО-П11,RU000A107MM9,нет,95.37,120928,19.45,14.83,01-––-––-04-––-––-07-––-––-10-––-––
Мобильные ТелеСистемы 001P-23,RU000A105NA6,нет,97.52,117033,19.34,3.03,––-––-––-––-––-––-––-––-09-––-––--12
ГТЛК БО 001P-15,RU000A100Z91,нет,92.74,103892,23.61,6.56,01-––-––-04-––-––-07-––-––-10-––-––
Селектел 001P-04R,RU000A1089J4,нет,95.67,96733,19.84,16.76,01-02-03-04-05-06-07-08-09-10-11--12
МВ ФИНАНС 001Р-03,RU000A104ZK2,нет,90.78,93886,27.34,9.73,01-––-––-04-––-––-07-––-––-10-––-––
Борец Капитал 001Р-01,RU000A105ZX2,нет,87.9,92601,23.26,16.39,––-––-03-––-––-06-––-––-09-––-––--12
Интерлизинг 001Р-07,RU000A1077X0,нет,93.71,88138,25.17,12.13,01-02-03-04-05-06-07-08-09-10-11--12
Республика Беларусь 07,RU000A100D89,нет,93.3,82008,22.04,7.3,––-––-––-––-05-––-––-––-––-10-––-––
ФПК Гарант-Инвест БО 002Р-08,RU000A107TR3,нет,94.98,80816,25.1,14.93,01-02-03-04-05-06-07-08-09-10-11--12
Интерлизинг 001Р-06,RU000A106SF2,нет,89.3,66952,25.42,14.5,––-02-––-––-05-––-––-08-––-––-11-––
ЕвроТранс БО-001Р-01,RU000A105PP9,нет,91.77,54128,23.17,13.7,01-02-03-04-05-06-07-08-09-10-11--12
ЕвроТранс БО-001Р-02,RU000A105TS5,нет,90.15,47327,24.34,15.0,01-02-03-04-05-06-07-08-09-10-11--12
