,Марковиц,Блэк-Литерман
RISK_FREE,0.5,0.5
PLZL,0.19999999999991203,0.0
AFLT,0.15514451523547854,0.19999999999999984
SBER,0.14485548476440968,8.628490967508988e-18
MVID,5.890213929586566e-14,0.2
NVTK,3.329595821438685e-14,1.904552009146006e-17
SNGS,2.919337928822503e-14,0.0
GMKN,1.883626547549479e-14,0.10000000000000012
MTSS,1.8631504397260787e-14,3.531047668442598e-17
GAZP,1.7748488068190255e-14,0.0
POSI,1.760409887256143e-14,8.33376369809488e-18
AFKS,1.504972296548556e-14,1.8982831430202835e-17
MAGN,9.081023928215085e-15,1.0433127945081124e-17
SIBN,8.79470378935125e-15,0.0
CBOM,7.298845046720998e-15,1.703849984207778e-17
TATN,4.498000203516377e-15,7.952840587018047e-18
ALRS,2.4382497462833913e-15,7.021646169691631e-18
LKOH,0.0,3.6440701978845476e-18
PHOR,0.0,3.750498713776779e-18
RUAL,0.0,3.3145527772572212e-18
