,Марковиц,Блэк-Литерман
RISK_FREE,0.4,0.4
AFKS,0.09,0.08999999999999996
GAZP,0.09,3.2966794617341133e-17
LKOH,0.09,7.688430574485888e-17
RUAL,0.09,0.0
SBER,0.09,7.867970377032823e-17
TATN,0.09,0.08999999999999996
MTSS,0.05999999998199831,0.0
ALRS,0.0,5.958999778848112e-17
GMKN,0.0,0.08999999999999998
MAGN,0.0,0.05999999999999993
MVID,0.0,0.09
NVTK,0.0,0.09
ROSN,0.0,7.257519008983699e-17
SIBN,0.0,6.910330827499444e-17
SNGS,0.0,0.08999999999999991
