,Марковиц,Блэк-Литерман
RISK_FREE,0.4,0.4
SBER,0.2399999999999691,1.859380292376397e-17
TATN,0.23999999999968655,0.0
RUAL,0.10835289986979177,0.0
AFKS,0.011647100130485429,0.23999999999999996
MVID,1.5550321447177495e-14,0.24
NVTK,7.559057546568937e-15,0.0
SNGS,7.295010949481816e-15,1.0361227783183184e-17
GMKN,7.219160165494731e-15,0.12
MTSS,7.026410703270258e-15,0.0
GAZP,6.847452292679801e-15,0.0
MAGN,5.767066511841445e-15,0.0
SIBN,4.200936473686134e-15,2.441297470821715e-18
ALRS,2.9709958451751282e-15,0.0
ROSN,1.3370814871960234e-15,2.6886468852828286e-17
LKOH,8.435960263675212e-16,0.0
PHOR,5.27377620740399e-16,2.3081825893377384e-17
