,AFLT_return,CBOM_return,PHOR_return,PLZL_return,RUAL_return,SBER_return,TATN_return,RISK_FREE_return,portfolio_return
2024-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-03,-0.0023897581792318733,0.0,-0.0006014831141458767,-0.0020993439550140588,-0.0008204947133926588,0.0,-0.0005070853038671676,8.61083810813401e-05,-0.006332056884570295
2024-01-04,0.0007048951048951046,0.0002772202790538404,0.00012257094915973167,-0.0004136657433056534,-0.0008112756716691405,-0.0,-0.0008143624929318605,8.61083810813401e-05,-0.0008485091937166377
2024-01-05,-0.005037953331459105,0.00018775781851849017,-0.00014037603665450726,0.0007991161848646676,0.00039084534495514395,-0.0,0.00014557556937295043,8.61083810813401e-05,-0.00356892606932102
2024-01-06,-0.00037991858887381096,0.0,-0.00020130613425977599,-0.0006481481481481354,-5.170691404938638e-05,0.0,0.0,8.61083810813401e-05,-0.0011949714042497686
2024-01-07,-3.788903924220932e-05,0.0,-6.977872814860998e-05,-0.00018064516129034477,-0.0004236932769315348,-0.0,0.0,8.61083810813401e-05,-0.0006258978245313587
2024-01-08,-0.002045454545454532,-5.6257467037085235e-05,-6.098344043095114e-05,-0.0004639175257731942,4.109478359622043e-05,0.0,0.0003400979957033483,8.61083810813401e-05,-0.002159311818314854
2024-01-09,-0.0007093333333333174,0.00025271496411231615,0.00038292417368617106,2.568807339450085e-05,0.00032894548874055354,-0.0,0.005879672415492052,8.61083810813401e-05,0.006246720163173616
2024-01-10,0.0008914831520296906,8.08646587399073e-05,-0.00025404947968687383,0.0011304826573683212,0.0002788179975716373,-0.0,-0.0012481839593500583,8.61083810813401e-05,0.0009655234077539643
2024-01-11,-0.0013084112149532555,0.0004823618829719495,-0.00022678086648298244,-0.0005439407955596697,-0.0019696585223151495,0.0,0.0008290092834747723,8.61083810813401e-05,-0.002651311851782995
2024-01-12,-0.0007777777777777749,-2.8807839965374406e-05,0.00019114840156526577,-0.0019093254699594328,0.00015137009387536848,0.0,-0.0014823808196328234,8.61083810813401e-05,-0.003769665030813431
2024-01-13,0.0,0.0,-0.0,0.0,-0.00016180063815922257,-0.0,-0.00018509066015192662,8.61083810813401e-05,-0.00026078291722980907
2024-01-14,0.0,0.0,0.0,-0.000355975299673088,-0.00028251802316929243,0.0,-0.0001007996430656097,8.61083810813401e-05,-0.00065318458482665
2024-01-15,0.0,-0.0003536070215860491,0.0,-0.00012681159420289132,0.0004422265493118524,-0.0,-0.00025178295403340754,8.61083810813401e-05,-0.0002038666394291555
2024-01-16,-0.0,0.00015453975150097978,0.0,-0.0,-0.0,0.0,0.0003014930265558386,8.61083810813401e-05,0.0005421411591381585
2024-01-17,0.0,-0.0006048082517567386,0.0,-0.0,0.0,0.0,0.0002350982521786211,8.61083810813401e-05,-0.00028360161849677736
2024-01-18,-0.0,0.0008061801647038082,0.0,0.0,-0.0,-0.0,0.0,8.61083810813401e-05,0.0008922885457851483
2024-01-19,0.0,0.0003209192209747894,-0.0,-0.0,-0.0,-0.0,-0.0,8.61083810813401e-05,0.00040702760205612947
2024-01-20,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-21,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-22,0.0,-0.00021611030235357478,-0.0,0.0,-0.0,-0.0,0.0,8.61083810813401e-05,-0.0001300019212722347
2024-01-23,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-24,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-25,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-26,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-27,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-28,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-29,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-30,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-31,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-01,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-02,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-03,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-04,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-05,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-06,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-07,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-08,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-09,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-10,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-11,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-12,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-13,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-14,-0.0,0.0,-0.00010080936071238703,-0.0,0.0,0.0,-0.0,8.61083810813401e-05,-1.4700979631046928e-05
2024-02-15,-0.0,0.0,-0.00015989113068558592,0.0,-0.0,0.0,0.0,8.61083810813401e-05,-7.378274960424581e-05
2024-02-16,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-17,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-19,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-20,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-21,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-22,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-24,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-25,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-27,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-28,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-02-29,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-01,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-02,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-03,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-04,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-05,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-06,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-07,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-08,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-10,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-11,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-12,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-13,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-14,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-15,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-16,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-17,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-18,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-19,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-20,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-21,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-22,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-23,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-24,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-25,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-26,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-27,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-28,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-29,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-03-30,-0.0002154793315743175,-0.0,-0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,-0.00012937095049297742
2024-03-31,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-04-01,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-04-02,-0.0012379189800534693,-0.0,-0.0,0.0,-0.0,0.0,-0.0,8.61083810813401e-05,-0.0011518105989721291
2024-04-03,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-04-04,-0.004395999999999997,-0.0,-0.0,-0.0021871713985278894,0.0,0.0,0.0,8.61083810813401e-05,-0.006497063017446547
2024-04-05,0.0,-0.0,-0.0,0.0,-0.0005157395341325219,0.0,-0.0,8.61083810813401e-05,-0.00042963115305118184
2024-04-06,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-04-07,0.0,0.0,0.0,0.0002716012535442447,0.0,0.0,-0.0,8.61083810813401e-05,0.0003577096346255848
2024-04-08,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-04-09,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-04-10,0.0,0.0,-0.0,-0.0021120689655172394,0.0,0.0,0.0,8.61083810813401e-05,-0.0020259605844358992
2024-04-11,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-04-12,-0.0,-0.0,0.0,0.003994914535951421,0.0,0.0,0.0,8.61083810813401e-05,0.004081022917032761
2024-04-13,-0.0,0.0,-0.0,0.0018651284164263114,-0.0015375105641080161,0.0,0.0,8.61083810813401e-05,0.00041372623339963545
2024-04-14,0.0,0.0,0.0,-0.0003605313092979134,0.0,0.0,0.0,8.61083810813401e-05,-0.0002744229282165733
2024-04-15,-0.0,-0.0,0.0,-0.0014077999728223831,0.0,0.0,0.0,8.61083810813401e-05,-0.001321691591741043
2024-04-16,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-04-17,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-04-18,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-04-19,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-04-20,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-04-22,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-04-23,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-04-24,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-04-25,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-04-26,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-04-27,-0.0019846743295019228,-0.0,0.0,-0.0,0.0,0.0,0.0,8.61083810813401e-05,-0.0018985659484205826
2024-04-28,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-04-29,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-04-30,-0.0,-0.0,0.0,0.0036294005008101443,-0.0,0.0,-0.0,8.61083810813401e-05,0.0037155088818914845
2024-05-01,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-05-02,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-05-03,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.00021208728567486768,8.61083810813401e-05,-0.00012597890459352759
2024-05-04,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-05-05,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-05-06,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-05-07,-0.0,-0.0,-0.0,-0.0012320328542094394,-0.0,0.0,0.00047616120020927934,8.61083810813401e-05,-0.0006697632729188199
2024-05-08,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-05-09,0.0,-0.0,0.0,0.0,0.0,0.0,-0.00026027106507267995,8.61083810813401e-05,-0.00017416268399133986
2024-05-10,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-05-11,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-05-12,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-05-13,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-05-14,0.0,0.0,0.0,-0.0,0.0006554671277940031,0.0,0.00022524074804508167,8.61083810813401e-05,0.0009668162569204249
2024-05-15,0.006613766377560454,0.0,0.0,0.004329066589961163,0.0,0.0,0.0013649147510432264,8.61083810813401e-05,0.012393856099646185
2024-05-16,-0.0020475770925110146,-0.0,-0.0,-0.0,-0.0020437257962704074,0.0,0.0019365423382684736,8.61083810813401e-05,-0.0020686521694316083
2024-05-17,0.005207439198855498,-0.0,0.0,0.0,0.0,0.0,-0.0,8.61083810813401e-05,0.005293547579936838
2024-05-18,0.0003379310344827546,-0.0,-0.0,-0.0,-0.0,0.0,-0.0003932176297083596,8.61083810813401e-05,3.0821785855735136e-05
2024-05-19,0.00031303749570004146,0.0,0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,0.00039914587678138155
2024-05-20,-0.0002402608546421847,-0.0,-0.0,0.0,-0.0,0.0,-0.0,8.61083810813401e-05,-0.00015415247356084457
2024-05-21,0.0,0.0,-0.0,-0.00028969513036281253,0.0,0.0,0.0,8.61083810813401e-05,-0.00020358674928147244
2024-05-22,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-05-23,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0003778432316360986,8.61083810813401e-05,-0.0002917348505547585
2024-05-24,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.001784755262051872,8.61083810813401e-05,-0.0016986468809705318
2024-05-25,0.0,0.0,-0.00012102700566853959,0.0,0.0,0.0,-0.00017641888082776608,8.61083810813401e-05,-0.00021133750541496555
2024-05-26,-0.0,0.0,0.00017651940084607303,-0.0,-0.0,0.0,-0.0,8.61083810813401e-05,0.00026262778192741315
2024-05-27,-0.0,-0.0,0.0002702420902931054,-0.0,-0.0,0.0,-0.0,8.61083810813401e-05,0.0003563504713744455
2024-05-28,0.001880900508351506,0.0,-0.0,-0.0,0.0,0.0,-0.0,8.61083810813401e-05,0.001967008889432846
2024-05-29,0.0,0.0,0.0,0.0029527739569005004,0.0,0.0,0.0,8.61083810813401e-05,0.0030388823379818406
2024-05-30,-0.0,-0.0,0.0004319690230295594,-0.0,-0.0,0.0,-0.0,8.61083810813401e-05,0.0005180774041108995
2024-05-31,-0.0024653148345784425,0.0,0.00094775060340835,-0.0,-0.0,0.0,-0.0023890600661669236,8.61083810813401e-05,-0.003820515916255676
2024-06-01,0.0,-0.0,0.0,0.0012996742671009807,0.0,0.0,0.0,8.61083810813401e-05,0.0013857826481823209
2024-06-02,-0.0008098336948662287,0.0,0.0,0.0,-0.0,0.0,-0.0,8.61083810813401e-05,-0.0007237253137848886
2024-06-03,-0.0,0.0,0.0007021265805284208,-0.0035909165169089835,-0.0,0.0,-0.0,8.61083810813401e-05,-0.0028026815552992224
2024-06-04,0.0,-0.0,-0.00029611683620423955,-0.0,0.0,0.0,0.0,8.61083810813401e-05,-0.00021000845512289946
2024-06-05,-0.0,-0.0,0.001021353828308512,0.0,-0.0,0.0,-0.0,8.61083810813401e-05,0.0011074622093898523
2024-06-06,-0.0,0.0,-0.00017992294399935398,0.0,0.0,0.0,0.0,8.61083810813401e-05,-9.381456291801387e-05
