Показатель,value_float
"Добыча нефти, млн т",126.9
"Переработка нефти, млн т",42.9
"Выручка, млрд руб",4100.0
"Операционная прибыль, млрд руб",678.8
"EBITDA, млрд руб",1396.0
"Чистая прибыль, млрд руб",479.5
"Опер.денежный поток, млрд руб",823.8
"CAPEX, млрд руб",505.5
"FCF, млрд руб",318.6
"Див.выплата, млрд руб",246.4
"Дивиденд, руб/акцию",51.96
"Див доход, ао, %",7.9
"Дивиденды/прибыль, %",51.0
"Опер. расходы, млрд руб",3421.0
"Амортизация, млрд руб",470.7
"Активы, млрд руб",6141.0
"Чистые активы, млрд руб",3169.0
"Долг, млрд руб",960.3
"Наличность, млрд руб",217.7
"Чистый долг, млрд руб",742.6
"Цена акции ао, руб",657.5
"Число акций ао, млн",4741.0
"Капитализация, млрд руб",3117.0
"EV, млрд руб",3860.0
"Баланс стоимость, млрд руб",3169.0
"EPS, руб",101.1
"FCF/акцию, руб",67.2
"BV/акцию, руб",668.3
"Рентаб EBITDA, %",34.1
"Чистая рентаб, %",11.7
"Доходность FCF, %",10.2
"ROE, %",15.1
"ROA, %",7.8
P/E,6.5
P/FCF,9.78
P/S,0.76
P/BV,0.98
EV/EBITDA,2.76
Долг/EBITDA,0.53
"R&D/CAPEX, %",0.0
"CAPEX/Выручка, %",12.0
