date,ticker,close,composite_score,tech_score,sentiment_score,fundamental_score,signal,recommendation
2025-04-14,TATN,686.4,0.7093394838422842,0.7251848988049212,1.0602972381092886,0.1432893150351854,1,BUY
2025-04-14,MVID,110.35,0.6387035996404683,-0.025677012836598578,2.076280810172435,0.1432893150351854,1,BUY
2025-04-14,ROSN,449.3,0.4181321223615482,-0.018036572889943963,1.328308485998277,0.1432893150351854,0,HOLD
2025-04-14,SNGS,23.01,0.39368424518265793,-0.12277097411215832,1.421372897439,0.1432893150351854,0,HOLD
2025-04-14,PHOR,6089.0,0.27672873911246454,0.6763022360102248,-0.30026747299894985,0.1432893150351854,0,HOLD
2025-04-14,SIBN,545.5,0.22339476927633972,-0.08278009632657037,0.787089848108626,0.1432893150351854,0,HOLD
2025-04-14,GAZP,132.05,0.21002657887897097,0.08155567149074747,0.46863626708853373,0.1432893150351854,0,HOLD
2025-04-14,NVTK,1115.6,0.17952668378695924,-0.1774967419590264,0.7987239725314512,0.1432893150351854,0,HOLD
2025-04-14,SBER,296.5,0.014025886706368063,0.11779879959555628,-0.2451045869948239,0.1432893150351854,0,HOLD
2025-04-14,MTSS,215.5,-0.010845288648592653,0.0931315377595218,-0.2868964017846355,0.1432893150351854,0,HOLD
2025-04-14,GMKN,114.5,-0.04643991905307024,0.021942276950566646,-0.2868964017846355,0.1432893150351854,0,HOLD
2025-04-14,AFKS,14.919,-0.16539273508912566,-0.21596335512154421,-0.2868964017846355,0.1432893150351854,0,HOLD
2025-04-14,MAGN,32.26,-0.16969800625984743,-0.22457389746298773,-0.2868964017846355,0.1432893150351854,0,HOLD
2025-04-14,ALRS,48.44,-0.1961345673593738,-0.20352706589167016,-0.4100963247352527,0.1432893150351854,0,HOLD
2025-04-14,RUAL,32.875,-0.20395211817075704,-0.32105326106972937,-0.24027783547643153,0.1432893150351854,0,HOLD
2025-04-14,LKOH,6474.0,-0.25434991819182495,-0.046267550758115804,-0.8662466860660138,0.1432893150351854,0,HOLD
