id,project,project_nick,type,category,title,body,publish_date,publish_date_t,fronturl,picture,badge,pay_option,data,_score,overview,text
67fa334e9a79476191b5f840,РБК,rbcnews,article,money,США обогнали Россию по поставкам СПГ в Европу,"В первом квартале 2025 года, после решения Украины не продлевать контракт на транзит газа, импорт в ЕС американского СПГ превысил российские поставки — 18 млрд куб. м против 10 млрд куб. м, следует из данных Bruegel",2025-04-12T13:13:39+03:00,1744452819,https://www.rbc.ru/economics/12/04/2025/67fa334e9a79476191b5f840,https://s0.rbk.ru/v6_top_pics/media/img/5/45/347444516332455.jpeg,,free,,0,,
67fa3ce29a7947ebbf070778,РБК,rbcnews,uploaded_video,money,Александру Овечкину подарили козленка,Видео,2025-04-12T13:13:21+03:00,1744452801,https://www.rbc.ru/?video_id=67fa3ce29a7947ebbf070778,https://s0.rbk.ru/v6_top_pics/media/img/5/43/347444528340435.jpeg,video,free,,0,,
67fa2f239a794725c59a379f,РБК,rbcnews,article,money,МИД заявил о готовности России заменить США в поставках нефти в Китай,"Если поставки нефти из США сократятся до нуля, Китай будет руководствоваться национальными интересами, Россия готова закрыть его потребности, заявил Андрей Руденко. В 2024 году Москва поставила Пекину рекордные 108,5 млн т",2025-04-12T12:51:21+03:00,1744451481,https://www.rbc.ru/politics/12/04/2025/67fa2f239a794725c59a379f,https://s0.rbk.ru/v6_top_pics/media/img/9/63/347444497465639.jpeg,,free,,0,,
67fa34fd9a79473b60b4ae3a,РБК,rbcnews,short_news,money,Президент Венесуэлы Мадуро приедет в Россию на 9 Мая,До этого Мадуро уже приезжал на Парад Победы — в 2015 году,2025-04-12T12:48:20+03:00,1744451300,https://www.rbc.ru/rbcfreenews/67fa34fd9a79473b60b4ae3a,https://s0.rbk.ru/v6_top_pics/media/img/3/79/347444512420793.jpeg,,free,,0,,
67f685939a79479308de5983,РБК,rbcnews,article,money,"Семин заявил, что отрыв по очкам не гарантирует «Краснодару» победу в РПЛ","По мнению бывшего главного тренера сборной России, пятиочковый отрыв «Краснодара» от «Зенита» и «Спартака» не гарантирует чемпионства, поскольку команде предстоит очная встреча с петербуржцами, где многое может измениться",2025-04-12T12:38:22+03:00,1744450702,https://www.rbc.ru/sport/12/04/2025/67f685939a79479308de5983,https://s0.rbk.ru/v6_top_pics/media/img/4/54/347442155270544.jpeg,,free,,0,,
67fa30f79a7947ada0d6ba55,РБК,rbcnews,short_news,money,"Директор Калюжного сообщил, что актер снимается в военном фильме в ДНР",,2025-04-12T12:36:32+03:00,1744450592,https://www.rbc.ru/rbcfreenews/67fa30f79a7947ada0d6ba55,https://s0.rbk.ru/v6_top_pics/media/img/3/36/347444500583363.jpeg,,free,,0,,
67fa2cc89a794771204aeed9,РБК,rbcnews,short_news,money,На Украине журналистку приговорили к пяти годам за видео мобилизации,,2025-04-12T12:12:15+03:00,1744449135,https://www.rbc.ru/rbcfreenews/67fa2cc89a794771204aeed9,https://s0.rbk.ru/v6_top_pics/media/img/9/42/347444507948429.jpeg,,free,,0,,
67fa199a9a79475ee06d2ae3,РБК,rbcnews,article,money,Politico узнало об опасениях в США из-за переговоров с Ираном,"Трамп установил дедлайн в 60 дней, чтобы добиться прогресса на переговорах с Ираном, но в США и Израиле опасаются, что тот использует их как тактику затягивания для восстановления сил и что Трамп может заключить плохую сделку",2025-04-12T12:11:08+03:00,1744449068,https://www.rbc.ru/politics/12/04/2025/67fa199a9a79475ee06d2ae3,https://s0.rbk.ru/v6_top_pics/media/img/7/82/347444498499827.jpeg,,free,,0,,
67f680529a794773403fffa1,РБК,rbcnews,article,money,Писарев заявил о больших проблемах «Спартака» с игрой и потерей очков,"По словам Писарева, «Спартак» испытывает проблемы с набором очков, особенно в матчах с командами из средней и нижней частей турнирной таблицы, а не с прямыми конкурентами",2025-04-12T11:56:43+03:00,1744448203,https://www.rbc.ru/sport/12/04/2025/67f680529a794773403fffa1,https://s0.rbk.ru/v6_top_pics/media/img/2/83/347442088117832.jpeg,,free,,0,,
67fa27189a7947533115a390,РБК,rbcnews,short_news,money,В Минобрнауки заявили о сохранении ЕГЭ при отказе от Болонской системы,,2025-04-12T11:49:18+03:00,1744447758,https://www.rbc.ru/rbcfreenews/67fa27189a7947533115a390,https://s0.rbk.ru/v6_top_pics/media/img/6/35/347444477179356.jpeg,,free,,0,,
