,Марковиц,Блэк-Литерман
RISK_FREE,0.4,0.4
AFKS,0.08999999999989575,0.09
MTSS,0.08999999999987536,0.0
RUAL,0.08999999999987526,6.671867175213638e-18
TATN,0.0899999999998644,0.09
SBER,0.08999999999986177,1.45522151495946e-17
SNGS,0.08999999999985324,0.05965918854483425
LKOH,0.05999999999976988,2.5845048504071098e-17
PHOR,1.8018903077691576e-13,0.0
GAZP,1.7373602556602918e-13,0.00034081145516571333
MVID,1.1088766888203501e-13,0.09
GMKN,1.0299968618369721e-13,0.09
NVTK,9.766563115469506e-14,0.09
MAGN,9.457565551833246e-14,0.0
ALRS,9.292046135939171e-14,0.0
ROSN,8.072196751839092e-14,0.09
SIBN,7.06131543074663e-14,0.0
