date,AFKS,ALRS,GAZP,GMKN,LKOH,MAGN,MTSS,MVID,NVTK,PHOR,ROSN,RUAL,SBER,SIBN,SNGS,TATN,portfolio_return,risk_free_return
2024-01-02,,,,,,,,,,,,,,,,,0.00011481117477512015,0.0002870279369378004
2024-01-03,-0.00021351003128881936,-1.11213468385203e-14,-0.0007855851362270298,-3.614487845024073e-15,-2.9939735184374363e-15,-6.586397929014601e-15,-1.933785990743146e-15,-1.030486090004634e-14,-1.5048634257581982e-15,-2.8338558531994086e-15,-3.4853014672799987e-15,-0.001363636363625937,-0.0016482055826193796,-1.2877937211429031e-15,-7.466586482125e-15,-0.000518250208967946,-0.0026027012188942268,0.0002870279369378004
2024-01-04,-0.0006320431161153252,-1.1035915717425765e-16,0.00014122893954348435,1.7079253783304e-15,1.416641154826556e-15,-2.6489641386920075e-15,-3.3476481492693433e-16,-1.4335213303789255e-14,6.258014939586366e-16,5.774865387563829e-16,1.840210376819174e-15,-0.0013483146067312548,0.000192307692306239,1.935261418150926e-15,-2.6112414227748624e-15,-0.0008322929671181116,-0.0013726572601010232,0.0002870279369378004
2024-01-05,0.0007530157182842226,-1.379102076454569e-15,-0.0005134883720907703,4.571236702335427e-16,-3.941836241516794e-16,7.46459137926649e-16,-2.0069845853364997e-15,3.64877406509694e-15,-9.661551544387745e-17,-6.613742659878413e-16,-1.881372104656945e-15,0.000649572649567697,0.00021888224135249465,3.8070299421674943e-16,-1.216922366492471e-15,0.0001487808238038036,0.0008688690113241466,0.0002870279369378004
2024-01-06,-3.6784991723133037e-05,3.2982672411395506e-16,6.669136717273322e-05,4.0037631534771074e-16,-6.561006192555944e-17,1.0626590804983327e-15,5.825785938622591e-16,-1.717576438299484e-15,-2.4140826237937634e-17,-9.484431955618566e-16,-1.5495225719011695e-15,-8.593526210190325e-05,-0.000118412396753718,1.058637865673304e-16,-1.4563486535608636e-15,,1.0146404729539319e-05,0.0002870279369378004
2024-01-07,-0.0002353518019106571,-4.951557759226081e-16,-0.00043002780351992224,2.8622922545977156e-16,1.3119109927159201e-16,-5.918737588028844e-16,-1.833511887844387e-15,1.4662549044953197e-15,2.1723808757540702e-16,-3.287587839827379e-16,4.501555340436623e-16,-0.0007041648776244811,9.200774033300218e-05,-3.1768561724326837e-16,-8.871054268418335e-16,,-0.0006517108708592566,0.0002870279369378004
2024-01-08,-0.0017029606067906385,1.8682338999123135e-15,-0.00045804346487518283,-4.868890125651196e-15,5.249966451046144e-16,-7.486446529697021e-15,-3.5680609648034905e-15,2.697484022849815e-15,-1.0150117154670893e-15,-2.8732025147355185e-16,2.2211875278382436e-15,6.829823562839574e-05,-0.0013504823151023388,4.50712277490805e-15,-1.0382756255576923e-14,0.0003475862068939205,-0.0017425499917818597,0.0002870279369378004
2024-01-09,0.0005283474065103008,-4.5272688536131945e-15,0.0004710211591515966,1.190452894288315e-15,-7.209592173815027e-15,5.109422436077886e-15,-1.1271971971685195e-14,-3.701994223572685e-15,-2.1627401322226446e-16,1.8041269744921268e-15,1.1331430500612242e-15,0.0005466970387201747,0.0006417112299416793,-1.778765957021882e-15,1.5732477256199294e-15,0.006009129893439056,0.005032955211422067,0.0002870279369378004
2024-01-10,0.0006324589568019542,3.1657347559519214e-15,-0.0003398805492257939,2.273342080727396e-16,-1.112464936876378e-15,2.1553226178864914e-15,-3.7656718621115455e-15,-0.0,-2.8801675618012405e-15,-1.196940675608569e-15,-2.9222872040949706e-16,0.00046338672768522765,0.00034437663469660254,-8.87103606254684e-15,-5.288963730900191e-15,-0.0012756662297849905,9.616498868204786e-06,0.0002870279369378004
2024-01-11,-0.0030913520097234693,-2.1459755437079482e-15,0.000272610057099564,2.8430658166393735e-15,-6.607217102923183e-16,-2.4619493169607556e-14,1.5087267512320108e-15,-6.605779397667046e-15,8.97585596947757e-16,-1.068466047943898e-15,1.388669366647033e-14,-0.0032735104091637145,-0.0005333527633024584,1.498124448900557e-15,-1.3419125991699947e-14,0.0008472622478321948,-0.003352194551596341,0.0002870279369378004
2024-01-12,0.00042747729026607967,-1.0616861444606978e-14,-0.0006424615384587501,1.2014241362484301e-15,3.1899334518119703e-16,-8.183154276041221e-15,-6.534889485220181e-15,9.635866513596877e-16,6.172379820843575e-16,9.00585575664332e-16,-3.0952020818679113e-15,0.00025157232704209044,-5.6581190380774506e-05,1.1701209387328807e-15,-8.635269583675061e-15,-0.0015150195907590912,-0.0008061964466182833,0.0002870279369378004
2024-01-13,-0.0009223619138351803,0.0,-7.345289832862477e-05,-1.720760594306297e-16,-2.9804771849594877e-16,0.0,0.0,0.0,-4.04977566834841e-16,1.6428113772239416e-16,-1.4686580230978696e-15,0.0,0.000191415313223617,-7.546955948808935e-16,0.0,-0.00018916595012755173,-0.0004813280946672842,0.0002870279369378004
2024-01-14,0.00026963103121863217,-3.5135484511740715e-15,-0.00027160946962626514,-6.880499381273805e-16,4.253549625694195e-17,-0.0,0.0,-0.0,-2.139150787870158e-16,-1.068466047943898e-15,-7.315740254892767e-16,-0.0004695360536576604,-0.000374727668842481,-8.367807369763091e-17,0.0,-0.00010301902990336091,-0.000454745539715315,0.0002870279369378004
2024-01-15,-0.0005546995377466773,0.0,0.000366210937498403,1.0878048087216083e-15,3.4671402398697497e-15,0.0,-0.0,-8.652570135277589e-15,1.56683487759874e-15,-1.9239782752828813e-15,4.049314587444597e-15,0.000734966592421991,0.00013031202490310244,4.182922699256928e-17,-0.0,-0.00025732666189939813,0.00036648918788135447,0.0002870279369378004
2024-01-16,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.00030813124108181934,0.00029968991942421174,0.0002870279369378004
2024-01-17,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.00024027459954052523,0.0002589759344994353,0.0002870279369378004
2024-01-18,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.00011481117477512015,0.0002870279369378004
2024-01-19,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00011481117477512015,0.0002870279369378004
2024-01-20,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.00011481117477512015,0.0002870279369378004
2024-01-21,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.00011481117477512015,0.0002870279369378004
2024-01-22,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.00011481117477512015,0.0002870279369378004
