secid,boardid,name,tradedate,price,price_open,price_low,price_high,price_waprice,volume,value,yield,yield_atwap,maturity_date,duration,offer_date,accint,coupon_percent,coupon_value,face_value,face_unit,board_group
KG000A3LSJ06,TQCB,Кыргыз. 02,2024-10-31,93.24,92.93,92.72,93.25,93.0,2706,251661.39,22.7,22.99,2025-12-26,12.93,,1.3694,14.5,3.63,100.0,RUB,58
RU000A0JQRD9,TQCB,РЖД-23 обл,2024-10-31,98.44,98.22,98.15,98.48,98.28,299,293868.8,16.18,17.07,2025-01-16,2.53,,22.58,7.85,39.14,1000.0,RUB,58
RU000A0JRU46,TQCB,СЗКК 04,2024-10-31,85.87,86.36,85.87,86.36,86.07,16,9309.06,60.64,59.76,2031-09-26,5.13,,6.03,12.05,40.62,676.0,RUB,58
RU000A0JS4Z7,TQCB,ВЭБ.РФ 21,2024-10-31,95.8,95.69,95.51,95.8,95.69,37,35406.0,24.94,25.39,2032-02-17,3.87,,16.53,9.28,46.27,1000.0,RUB,58
RU000A0JSGV0,TQCB,РЖД-32 обл,2024-10-31,83.83,82.0,81.56,85.63,84.51,20,16902.0,23.03,22.4,2032-06-25,18.47,,31.68,9.8,48.87,1000.0,RUB,58
RU000A0JSQ58,TQCB,ФСК РС-22,2024-10-31,96.72,96.72,96.72,96.72,96.72,1,967.2,22.07,22.07,2027-07-21,8.33,2025-07-30,43.4,16.0,79.78,1000.0,RUB,58
RU000A0JT6B2,TQCB,ВЭБ.РФ 19,2024-10-31,95.92,91.61,91.61,95.92,94.66,7,6626.4,18.33,19.51,2032-09-23,16.03,2026-04-04,10.9,14.21,70.86,1000.0,RUB,58
RU000A0JTU85,TQCB,РЖД-28 обл,2024-10-31,97.9,97.94,97.51,97.94,97.58,49,47957.3,21.71,22.71,2028-03-21,4.8,,15.21,15.0,74.79,1000.0,RUB,58
RU000A0JUAH8,TQCB,РЖД-30 обл,2024-10-31,99.57,99.54,99.54,99.91,99.62,365,363618.5,23.73,23.67,2028-11-07,11.5,2024-11-15,31.44,6.75,33.66,1000.0,RUB,58
RU000A0JV1X3,TQCB,РоснфтБО3,2024-10-31,99.35,99.31,99.2,99.35,99.33,2490,2473345.9,19.1,19.41,2024-11-28,0.9,,39.66,9.4,46.87,1000.0,RUB,58
RU000A0JV219,TQCB,РоснфтБО9,2024-10-31,99.26,99.24,99.24,99.32,99.26,118,117131.7,20.51,20.51,2024-11-28,0.9,,39.66,9.4,46.87,1000.0,RUB,58
RU000A0JV375,TQCB,ГТЛК БО-03,2024-10-31,99.39,98.99,98.99,99.39,99.2,558,553546.2,17.19,19.27,2024-12-10,1.3,,14.56,10.42,25.98,1000.0,RUB,58
RU000A0JV3Q3,TQCB,ВТБ БО-30,2024-10-31,99.73,99.9,98.91,100.06,99.59,63,62741.2,16.18,17.58,2024-12-13,1.4,,17.1,13.0,32.41,1000.0,RUB,58
RU000A0JV805,TQCB,РСХБ БО8,2024-10-31,99.05,99.05,98.56,99.05,99.03,1392,1378502.5,20.48,20.58,2025-01-29,2.97,,0.41,15.0,37.4,1000.0,RUB,58
RU000A0JV8D0,TQCB,ВЭБлизБ04,2024-10-31,96.5,93.87,93.87,99.9,97.8,7,6845.7,15.47,9.44,2025-01-31,3.03,,0.25,0.1,0.5,1000.0,RUB,58
RU000A0JV9D8,TQCB,ВЭБлизБ06,2024-10-31,98.5,98.0,98.0,98.5,98.25,2,1965.0,13.52,14.47,2025-02-18,3.63,,15.6,7.91,39.44,1000.0,RUB,58
RU000A0JV9H9,TQCB,ВЭБлизБ07,2024-10-31,96.0,97.99,96.0,97.99,97.54,67,65354.8,23.26,17.07,2025-02-20,3.7,,15.17,7.91,39.44,1000.0,RUB,58
RU000A0JVA10,TQCB,ГТЛК БО-04,2024-10-31,97.58,97.78,97.44,97.8,97.7,560,547107.8,23.01,22.56,2025-03-06,4.07,,21.17,13.8,34.41,1000.0,RUB,58
RU000A0JVD25,TQCB,РусГидро09,2024-10-31,94.41,90.23,90.23,94.41,93.02,3,2790.5,13.58,17.37,2025-04-15,5.5,,0.0,0.01,0.05,1000.0,RUB,58
RU000A0JVFC6,TQCB,РостелБО-1,2024-10-31,94.98,93.64,93.16,94.98,93.5,36,33660.1,17.9,21.39,2025-05-16,6.3,,32.03,7.0,34.9,1000.0,RUB,58
RU000A0JVM81,TQCB,Оренб35003,2024-10-31,96.0,96.84,95.0,96.85,96.06,3923,753679.5,22.16,22.05,2025-07-03,7.83,,2.15,14.0,6.98,200.0,RUB,58
RU000A0JVUK8,TQCB,СистемБ1P1,2024-10-31,89.79,90.5,88.78,91.18,89.79,288,258605.0,24.91,24.91,2025-09-30,10.77,,8.63,10.5,52.36,1000.0,RUB,58
RU000A105104,TQOY,РУСАЛ БО05,2024-10-31,93.8553,93.0526,93.0526,95.5,94.4648,136,128599.9,18.4,17.36,2027-07-28,8.77,2025-08-04,21.42,8.5,42.38,1000.0,CNY,245
RU000A105112,TQOY,РУСАЛ БО06,2024-10-31,94.5005,95.1998,94.4004,96.1,95.3775,73,69613.29,17.3,15.84,2027-07-28,8.77,2025-08-04,21.42,8.5,42.38,1000.0,CNY,245
RU000A1054W1,TQOY,Полюс Б1P2,2024-10-31,74.0,74.2498,73.6003,75.1,74.3552,1435,1069302.33,16.17,15.96,2027-08-24,32.2,,6.77,3.8,18.95,1000.0,CNY,245
RU000A1057D4,TQOY,МЕТАЛИН1P2,2024-10-31,75.7,76.4995,75.3102,76.4995,75.7002,33,24959.1,14.96,14.96,2027-09-10,32.63,,4.87,3.7,9.22,1000.0,CNY,245
RU000A1057S2,TQOY,Роснфт2P12,2024-10-31,98.5,98.0053,98.0053,99.0,98.7111,68,67189.92,11.11,10.84,2032-09-07,10.37,,10.85,9.0,44.88,1000.0,CNY,245
RU000A105C44,TQOY,РУСАЛ 1Р1,2024-10-31,94.9,94.94,94.6053,97.0876,96.0036,558,536881.33,15.82,13.05,2025-04-24,5.8,,0.72,3.75,18.7,1000.0,CNY,245
RU000A105EW9,TQOY,Сегежа3P1R,2024-10-31,63.2,64.9995,63.2,64.9995,63.3813,166,105074.83,65.23,64.75,2037-10-22,11.9,2025-11-06,9.55,4.15,10.35,1000.0,CNY,245
RU000A105GS2,TQOY,ЮГК 1P1,2024-10-31,99.5,99.5,99.5,99.5,99.5,1,995.0,14.88,14.88,2024-11-19,0.6,,17.64,3.95,19.7,1000.0,CNY,245
RU000A105M75,TQOY,МЕТАЛИН1P3,2024-10-31,90.8,90.0104,90.0104,90.8,90.5368,3,2716.1,12.75,13.05,2025-12-11,13.2,,12.47,3.25,16.21,1000.0,CNY,245
RU000A105N25,TQIY,БДеньг-Ю01,2024-10-31,91.73,91.99,87.0,91.99,89.0406,90,8042.84,14.79,17.1,2026-06-03,18.0,,0.44,8.0,0.66,100.0,CNY,245
RU000A105NH1,TQOY,АЛЬФАБ2Р20,2024-10-31,98.5,98.6794,98.4144,98.7,98.6057,107,105508.15,15.47,14.62,2024-12-23,1.73,,14.25,4.0,20.05,1000.0,CNY,245
RU000A105PQ7,TQOY,РУСАЛ 1Р2,2024-10-31,91.6905,85.9101,85.5002,91.7612,86.8671,35,30403.45,12.37,17.91,2025-12-23,13.57,,4.0,3.95,9.85,1000.0,CNY,245
RU000A105ZC6,TQOY,Роснфт2P13,2024-10-31,99.2445,98.9,98.4999,99.2445,98.6907,6,5921.45,8.23,9.86,2033-03-07,4.53,,7.4,6.0,29.92,1000.0,CNY,245
RU000A1060Q0,TQOY,СКФ 1Р1CNY,2024-10-31,88.3799,88.7996,87.2502,88.7996,88.3208,102,89752.43,14.98,15.03,2026-03-24,16.47,,5.02,4.95,24.68,1000.0,CNY,245
RU000A1061L9,TQOY,ЮГК 1P2,2024-10-31,96.0998,96.9185,95.8001,96.9598,96.238,147,141509.44,16.16,15.76,2025-04-01,5.03,,4.52,5.5,27.42,1000.0,CNY,245
RU000A1063Z5,TQOY,ФосА1П1CHY,2024-10-31,91.0,90.9999,90.9999,91.0,91.0,23,20930.0,72.05,72.05,2026-04-09,2.3,,2.62,4.55,11.34,1000.0,CNY,245
RU000A1071S3,TQOY,МЕТАЛИН1P5,2024-10-31,91.69,89.8898,89.5,91.69,90.3675,29,26206.59,12.54,13.71,2026-04-14,17.1,,2.52,5.75,28.67,1000.0,CNY,245
RU000A1076U8,TQOY,РУСАЛ 1Р5,2024-10-31,90.3279,90.55,88.0,90.55,89.6857,65,58295.69,14.49,15.05,2026-05-08,17.2,,31.94,6.7,33.41,1000.0,CNY,245
RU000A107RH8,TQOY,РУСАЛ 1Р6,2024-10-31,86.6,87.0,86.06,87.99,86.9514,273,237379.44,17.1,16.81,2026-08-05,19.8,,16.77,7.2,17.95,1000.0,CNY,245
RU000A107U81,TQOY,УралСт1Р03,2024-10-31,91.0999,91.1003,90.21,92.9982,91.0522,62,56422.86,15.51,15.56,2026-02-19,15.0,,13.52,7.05,17.58,1000.0,CNY,245
RU000A1080Z9,TQOY,СлавЭКО1Р3,2024-10-31,90.3896,89.1106,88.6,90.7494,89.1201,120,106944.16,20.61,21.96,2026-03-12,15.27,,14.77,11.0,27.42,1000.0,CNY,245
RU000A1087C3,TQOY,ГПБ3P6CNY,2024-10-31,95.9999,96.0999,93.6,96.0999,95.7062,3,285.7,6.92,7.06,2027-04-09,28.13,,0.3,5.0,2.49,100.0,CNY,245
RU000A1089K2,TQOY,РУСАЛ 1Р7,2024-10-31,90.0281,91.5,90.0281,91.5,90.2844,5,4540.08,14.59,14.41,2026-10-09,21.9,,4.33,7.9,19.7,1000.0,CNY,245
RU000A108FX8,TQOY,ЕСЭГ1PC5,2024-10-31,90.1996,89.9999,88.0023,90.1996,88.8682,55,48802.85,14.39,15.29,2026-11-17,22.63,,15.98,8.1,20.19,1000.0,CNY,245
RU000A108JH3,TQOY,Акрон Б1P4,2024-10-31,92.15,93.0,91.6051,93.0,92.3444,113,104414.35,15.28,15.09,2026-05-22,14.9,,14.65,7.75,19.32,1000.0,CNY,245
RU000A108NS2,TQOY,ГТЛК 2P-05,2024-10-31,92.0016,92.6999,91.7,92.79,92.6114,141,130653.94,14.64,14.14,2026-06-09,18.2,,11.53,8.25,20.57,1000.0,CNY,245
RU000A108PZ2,TQOY,Газпн3P12R,2024-10-31,87.49,89.9498,86.909,89.95,87.1995,2925,2549533.24,15.56,15.76,2026-12-14,23.6,,9.55,7.75,19.32,1000.0,CNY,245
