secid,boardid,name,tradedate,price,price_open,price_low,price_high,price_waprice,volume,value,yield,yield_atwap,maturity_date,duration,offer_date,accint,coupon_percent,coupon_value,face_value,face_unit,board_group
BYM000001818,TQCB,РесБел 331,2025-03-31,95.4,94.4738,93.8005,95.4,95.1181,149,11859808.47,,0.0,2027-06-29,,,1643.0097,7.63,38.44,1000.0,USD,58
BYM000001917,TQCB,РесБел 334,2025-03-31,94.85,93.798,92.8,94.95,94.1441,171,13471546.13,,0.0,2026-02-24,,,471.4238,5.88,29.13,1000.0,USD,58
BYM000001925,TQCB,РесБел 335,2025-03-31,84.05,87.2001,83.8,87.2001,84.2672,113,7968297.99,,0.0,2031-02-24,,,511.7856,6.38,31.63,1000.0,USD,58
BYM000001941,TQCB,РесБел 336,2025-03-31,85.9,83.5001,83.2704,86.0,84.7013,213,15097254.28,,0.0,2030-02-28,,,440.6451,6.2,30.75,1000.0,USD,58
KG000A3LSC78,TQCB,Кыргыз. 01,2025-03-31,98.0999,,,,,0,0.0,,,2025-12-25,,,0.2085,15.5,3.88,100.0,KGS,58
KG000A3LSJ06,TQCB,Кыргыз. 02,2025-03-31,95.75,96.04,95.04,96.4,95.73,4654,445546.18,22.19,22.23,2025-12-26,8.63,,0.1611,14.5,3.63,100.0,RUB,58
RU000A0JQAM6,TQCB,ДОМ.РФ15об,2025-03-31,100.5,100.5,100.5,100.5,100.5,3,3015.0,19.59,19.59,2028-09-15,5.57,,8.77,20.0,100.82,1000.0,RUB,58
RU000A0JR4U9,TQCB,ГлДорога 3,2025-03-31,80.01,,,,,0,0.0,,,2028-10-30,,,22.33,11.09,55.3,500.0,RUB,58
RU000A0JRJB8,TQCB,ЗСД 01,2025-03-31,98.01,,,,,0,0.0,,,2031-05-13,,,37.76,10.44,52.06,1000.0,RUB,58
RU000A0JRJL7,TQCB,ЗСД 02,2025-03-31,98.54,,,,,0,0.0,,,2031-05-13,,,37.76,10.44,52.06,1000.0,RUB,58
RU000A0JRU20,TQCB,СЗКК 03,2025-03-31,90.0,,,,,0,0.0,,,2031-09-26,,,39.72,12.05,40.62,676.0,RUB,58
RU000A0JRU46,TQCB,СЗКК 04,2025-03-31,80.0,,,,,0,0.0,,,2031-09-26,6.07,,39.72,12.05,40.62,676.0,RUB,58
RU000A0JRZ74,TQCB,БМБанкБ03,2025-03-31,93.01,,,,,0,0.0,,,2025-07-16,,,0.02,0.01,0.05,1000.0,RUB,58
RU000A0JS4J1,TQCB,ЗСД 03,2025-03-31,113.99,113.99,113.99,113.99,113.99,1,1139.9,7.35,7.35,2032-02-06,63.4,,12.13,9.84,49.07,1000.0,RUB,58
RU000A0JS4K9,TQCB,ЗСД 04,2025-03-31,105.75,,,,,0,0.0,,,2032-02-06,,,12.13,9.84,49.07,1000.0,RUB,58
RU000A0JS4L7,TQCB,ЗСД 05,2025-03-31,113.88,,,,,0,0.0,,,2032-02-06,,,12.13,9.84,49.07,1000.0,RUB,58
RU000A0JS4Z7,TQCB,ВЭБ.РФ 21,2025-03-31,100.88,101.05,99.97,104.48,102.19,40,40875.1,19.52,18.76,2032-02-17,24.37,,17.84,19.15,95.49,1000.0,RUB,58
RU000A0JS9X1,TQCB,СитиматНН,2025-03-31,,,,,,0,0.0,,,2036-12-20,,,,0.0,127.7,1000.0,RUB,58
RU000A0JSGV0,TQCB,РЖД-32 обл,2025-03-31,90.69,90.57,90.56,90.79,90.6,35,31709.2,19.24,19.34,2032-06-25,14.37,,23.36,9.8,48.87,1000.0,RUB,58
RU000A0JSQ58,TQCB,ФСК РС-22,2025-03-31,98.26,98.52,98.26,98.52,98.42,5,4920.8,22.96,22.33,2027-07-21,3.77,2025-07-30,29.81,16.0,79.78,1000.0,RUB,58
RU000A0JT403,TQCB,ВЭБ.РФ 18,2025-03-31,99.48,98.03,97.93,99.48,98.03,19,18625.6,18.11,18.93,2032-09-17,25.73,2027-09-28,1.4,17.09,85.22,1000.0,RUB,58
RU000A0JT6B2,TQCB,ВЭБ.РФ 19,2025-03-31,96.2,95.49,95.49,96.41,95.83,964,923777.6,19.39,19.87,2032-09-23,10.97,2026-04-04,69.69,14.21,70.86,1000.0,RUB,58
RU000A0JT7T2,TQCB,ФСК РС-21,2025-03-31,100.5,,,,,0,0.0,,,2027-10-06,,2025-04-16,56.88,12.0,59.84,1000.0,RUB,58
RU000A0JTB96,TQCB,ГлДорога 7,2025-03-31,97.6,,,,,0,0.0,,,2029-10-30,,,27.73,11.09,69.12,625.0,RUB,58
RU000A0JTFB2,TQCB,ГлДорога 6,2025-03-31,81.11,,,,,0,0.0,,,2028-11-22,,,18.84,11.09,55.3,500.0,RUB,58
RU000A0JTU85,TQCB,РЖД-28 обл,2025-03-31,101.49,100.93,100.79,101.6,100.63,9345,9485922.7,18.19,18.61,2028-03-21,29.43,,2.98,18.1,90.25,1000.0,RUB,58
RU000A0JTW83,TQCB,ДОМ.РФ25об,2025-03-31,99.0,,,,,0,0.0,,,2026-10-01,,2026-07-03,22.25,18.25,22.5,500.0,RUB,58
RU000A0JTYJ6,TQCB,ФСК РС-23,2025-03-31,,,,,,0,0.0,,,2048-04-27,,,10.09,10.52,26.23,1000.0,RUB,58
RU000A0JTYK4,TQCB,ФСК РС-28,2025-03-31,,,,,,0,0.0,,,2048-04-27,,,10.09,10.52,26.23,1000.0,RUB,58
RU000A0JTZF1,TQCB,ДОМ.РФ26об,2025-03-31,116.05,,,,,0,0.0,,,2029-11-01,,2025-05-06,34.01,21.4,52.18,1000.0,RUB,58
RU000A0JU0N7,TQCB,БМБанкБ02,2025-03-31,93.59,,,,,0,0.0,,,2025-09-24,5.87,,0.0,0.01,0.05,1000.0,RUB,58
RU000A0JU2K9,TQCB,ФСК РС-26,2025-03-31,,,,,,0,0.0,,,2048-06-30,,2047-07-09,17.87,10.52,26.23,1000.0,RUB,58
RU000A0JU2L7,TQCB,ФСК РС-27,2025-03-31,,,,,,0,0.0,,,2048-06-30,,2047-07-09,17.87,10.52,26.23,1000.0,RUB,58
RU000A0JU7S1,TQCB,ФСК РС-29,2025-03-31,,,,,,0,0.0,,,2048-09-07,,,22.74,9.88,24.63,1000.0,RUB,58
RU000A0JU9K4,TQCB,Ситимат01,2025-03-31,98.9,,,,,0,0.0,,,2036-12-20,,,180.27,20.0,200.0,1000.0,RUB,58
RU000A0JUAG0,TQCB,РСГ-ФинБ01,2025-03-31,99.86,98.27,98.26,99.86,99.1,12,11891.6,21.55,29.28,2025-11-11,1.4,,76.16,20.0,99.73,1000.0,RUB,58
RU000A0JUAH8,TQCB,РЖД-30 обл,2025-03-31,101.49,101.64,101.36,101.64,101.15,1262,1281697.2,20.6,21.27,2028-11-07,6.87,,85.68,22.5,112.19,1000.0,RUB,58
RU000A0JUAN6,TQCB,ГазпромБ19,2025-03-31,,,,,,0,0.0,,,2043-10-21,,,36.41,9.63,48.02,1000.0,RUB,58
RU000A0JUAP1,TQCB,ГазпромБ20,2025-03-31,,,,,,0,0.0,,,2043-10-21,,,36.41,9.63,48.02,1000.0,RUB,58
RU000A0JUC92,TQCB,ФСК РС-30,2025-03-31,,,,,,0,0.0,,,2048-10-30,,2046-11-12,9.27,10.92,27.23,1000.0,RUB,58
RU000A0JUCA9,TQCB,ФСК РС-34,2025-03-31,,,,,,0,0.0,,,2048-10-30,,2047-11-11,9.27,10.92,27.23,1000.0,RUB,58
RU000A0JUG72,TQCB,МежИнБанк2,2025-03-31,69.43,,,,,0,0.0,,,2025-04-16,,,0.05,0.01,0.05,1000.0,RUB,58
RU000A0JUG98,TQCB,МежИнБанк4,2025-03-31,91.01,,,,,0,0.0,,,2025-11-06,,,0.04,0.01,0.05,1000.0,RUB,58
RU000A0JUKX4,TQCB,ДОМ.РФ30об,2025-03-31,99.01,,,,,0,0.0,,,2033-03-01,,2025-06-03,0.08,0.1,0.25,1000.0,RUB,58
RU000A0JUT85,TQCB,ПЕРЕСВЕТБ2,2025-03-31,29.99,,,,,0,0.0,,,2034-08-04,,,39.89,0.51,87.58,1000.0,RUB,58
RU000A0JV0T3,TQCB,Ситимат02,2025-03-31,98.5,,,,,0,0.0,,,2036-12-20,,,18.06,22.0,31.24,142.0,RUB,58
RU000A0JV0U1,TQCB,АльфаБО-15,2025-03-31,101.79,,,,,0,0.0,,,2029-11-13,,2025-05-22,57.68,15.95,79.53,1000.0,RUB,58
