date,KG000A3LSJ06,RU000A0JS4Z7,RU000A0JSGV0,RU000A0JTU85,RU000A0JUAH8,RU000A0JVA10,RU000A105104,RU000A105112,RU000A1054W1,RU000A1057D4,RU000A1057S2,RU000A105C44,RU000A105EW9,RU000A105M75,RU000A105N25,RU000A1060Q0,RU000A1061L9,RU000A1071S3,RU000A1076U8,RU000A107RH8
2024-02-07,15.17,13.04,12.48,14.4,14.83,15.37,7.74,7.74,5.77,6.07,5.05,6.13,14.74,4.65,8.5,5.53,5.47,6.03,6.91,7.35
2024-02-08,15.17,15.94,12.48,11.75,15.31,15.71,7.76,7.76,5.78,6.11,5.16,6.64,14.71,4.63,8.5,5.53,5.29,5.96,7.1,7.4
2024-02-09,15.17,15.49,12.21,15.02,15.17,15.62,7.99,7.97,5.69,6.13,5.47,6.25,14.91,5.49,8.53,5.64,5.29,6.03,7.01,7.35
2024-02-10,15.17,15.49,12.21,15.02,15.17,15.62,7.99,7.97,5.69,6.13,5.47,6.25,14.91,5.49,8.53,5.64,5.29,6.03,7.01,7.35
2024-02-11,15.17,15.49,12.21,15.02,15.17,15.62,7.99,7.97,5.69,6.13,5.47,6.25,14.91,5.49,8.53,5.64,5.29,6.03,7.01,7.35
2024-02-12,15.22,13.08,12.47,14.54,14.66,15.56,7.75,7.63,5.79,6.09,4.97,6.25,14.91,4.77,8.5,5.54,5.19,5.96,6.98,7.37
2024-02-13,15.23,13.08,13.19,15.54,15.15,15.97,7.63,7.87,5.76,6.1,5.16,6.16,14.84,4.82,8.5,5.54,5.38,5.93,6.93,7.37
2024-02-14,15.23,13.01,12.4,14.43,15.51,15.91,7.51,7.02,5.79,6.13,5.28,6.16,14.98,5.62,8.52,5.56,5.38,5.93,6.94,7.37
2024-02-15,15.36,12.99,12.78,14.63,14.59,15.46,7.33,7.02,5.74,6.12,5.25,7.0,14.89,4.68,8.59,5.63,5.58,5.96,6.93,7.4
2024-02-16,15.29,15.16,12.41,14.49,14.36,15.5,7.38,7.15,5.69,6.09,4.93,6.65,14.84,4.73,8.51,5.6,6.02,5.96,6.86,7.4
2024-02-17,15.29,15.16,12.41,14.49,14.36,15.5,7.38,7.15,5.69,6.09,4.93,6.65,14.84,4.73,8.51,5.6,6.02,5.96,6.86,7.4
2024-02-18,15.29,15.16,12.41,14.49,14.36,15.5,7.38,7.15,5.69,6.09,4.93,6.65,14.84,4.73,8.51,5.6,6.02,5.96,6.86,7.4
2024-02-19,15.18,15.2,12.71,15.89,14.97,15.59,7.4,7.28,5.79,6.12,5.52,6.97,14.87,4.76,8.53,5.7,5.86,5.98,6.86,7.4
2024-02-20,15.15,14.88,12.9,14.96,15.61,15.4,7.18,7.01,5.69,6.04,5.46,6.18,15.08,5.41,8.65,5.64,5.59,5.96,6.76,7.38
2024-02-21,15.29,15.4,12.88,14.71,14.73,15.7,7.66,7.35,5.86,6.13,5.3,7.04,16.48,5.63,8.85,5.91,6.34,5.95,6.76,7.4
2024-02-22,15.22,14.16,13.7,16.41,15.54,15.15,7.59,7.43,5.87,6.1,5.15,6.67,15.54,4.72,9.02,5.7,5.99,6.03,6.79,7.4
2024-02-23,15.22,14.16,13.7,16.41,15.54,15.15,7.59,7.43,5.87,6.1,5.15,6.67,15.54,4.72,9.02,5.7,5.99,6.03,6.79,7.4
2024-02-24,15.22,14.16,13.7,16.41,15.54,15.15,7.59,7.43,5.87,6.1,5.15,6.67,15.54,4.72,9.02,5.7,5.99,6.03,6.79,7.4
2024-02-25,15.22,14.16,13.7,16.41,15.54,15.15,7.59,7.43,5.87,6.1,5.15,6.67,15.54,4.72,9.02,5.7,5.99,6.03,6.79,7.4
2024-02-26,15.35,14.32,14.29,16.76,15.07,15.6,7.18,6.67,5.87,6.11,5.61,6.58,15.75,5.09,8.62,6.0,6.36,5.93,6.74,7.4
2024-02-27,15.25,15.1,14.96,15.15,15.43,15.6,6.69,6.69,5.77,5.98,5.15,6.5,15.81,5.64,8.66,5.97,6.06,5.94,6.74,7.4
2024-02-28,15.23,15.19,14.89,16.6,14.95,15.61,6.71,6.81,5.77,5.98,5.06,6.21,15.35,5.63,8.8,5.81,4.58,5.93,6.74,7.4
2024-02-29,15.23,15.1,14.53,14.2,14.98,15.61,7.06,6.46,5.67,5.97,4.98,5.99,15.12,5.37,8.5,5.87,5.47,5.88,6.79,7.4
2024-03-01,15.22,14.97,13.74,17.12,14.22,15.28,7.04,6.51,5.81,5.91,5.11,5.23,15.0,5.6,8.65,5.76,5.57,5.92,6.73,7.4
2024-03-02,15.22,14.97,13.74,17.12,14.22,15.28,7.04,6.51,5.81,5.91,5.11,5.23,15.0,5.6,8.65,5.76,5.57,5.92,6.73,7.4
2024-03-03,15.22,14.97,13.74,17.12,14.22,15.28,7.04,6.51,5.81,5.91,5.11,5.23,15.0,5.6,8.65,5.76,5.57,5.92,6.73,7.4
2024-03-04,15.23,15.26,13.71,14.3,15.55,15.68,7.46,7.06,5.81,5.77,5.56,6.53,15.52,5.61,8.54,5.7,6.17,5.89,6.73,7.39
2024-03-05,15.2,14.77,13.92,14.07,14.9,15.05,7.46,7.22,5.71,5.64,5.23,5.69,15.12,5.42,8.39,5.71,5.97,5.88,6.65,7.4
2024-03-06,15.25,14.81,13.7,14.67,15.04,15.3,7.48,7.4,5.82,5.69,5.57,5.67,15.22,5.61,8.49,5.6,6.17,5.88,6.7,7.35
2024-03-07,15.26,15.02,13.85,14.4,13.98,15.12,7.05,6.64,5.85,5.68,5.51,5.3,15.21,5.0,8.55,5.61,5.42,5.91,6.34,7.35
2024-03-08,15.26,15.02,13.85,14.4,13.98,15.12,7.05,6.64,5.85,5.68,5.51,5.3,15.21,5.0,8.55,5.61,5.42,5.91,6.34,7.35
2024-03-09,15.26,15.02,13.85,14.4,13.98,15.12,7.05,6.64,5.85,5.68,5.51,5.3,15.21,5.0,8.55,5.61,5.42,5.91,6.34,7.35
2024-03-10,15.26,15.02,13.85,14.4,13.98,15.12,7.05,6.64,5.85,5.68,5.51,5.3,15.21,5.0,8.55,5.61,5.42,5.91,6.34,7.35
2024-03-11,15.49,15.24,13.96,14.08,15.7,15.48,7.72,7.49,5.82,5.68,5.61,5.75,15.23,5.75,9.66,5.8,5.67,5.91,6.76,7.39
2024-03-12,15.38,15.79,13.64,,15.3,15.46,7.72,7.72,5.83,5.8,5.31,6.24,15.25,5.27,9.96,5.74,6.24,5.88,7.07,7.4
2024-03-13,15.29,14.77,13.86,,15.35,15.67,7.55,7.26,5.77,5.72,5.83,6.3,15.27,5.32,9.4,5.82,5.69,5.88,6.83,7.35
2024-03-14,15.29,,13.89,9.95,16.11,15.59,6.9,7.68,5.77,5.82,5.44,6.7,15.29,5.77,9.42,5.75,6.02,5.88,6.83,7.32
