date,AFKS,ALRS,GAZP,GMKN,LKOH,MAGN,MTSS,MVID,NVTK,PHOR,ROSN,RUAL,SBER,SIBN,SNGS,TATN,portfolio_return,risk_free_return
2024-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,8.61083810813401e-05,0.0002870279369378004
2024-01-03,-0.0002490950365045321,-9.088466800957539e-14,-9.320460128935548e-13,-2.4926523375785456e-14,-0.0009067800506227071,-7.074081391586587e-14,-0.0,-1.8328004091043338e-13,0.0011790274358576215,7.142336110315591e-12,0.0012511484161336127,0.0,6.180335081227835e-15,0.0005052955446233082,0.0008368332793921043,0.0,0.0019176090973895721,0.0002870279369378004
2024-01-04,-0.0007373836354705718,-9.018651703999411e-16,1.6755901294019466e-13,1.1778333111745845e-14,0.00042905587847626045,-2.845104125572456e-14,-0.0,-2.5496302242822786e-13,-0.0004903017231654589,-1.4554738041189437e-12,-0.0006605960258889084,0.0,-7.211029920559876e-16,-0.000759344416903346,0.0002926603379384269,0.0,-0.0012620283295209996,0.0002870279369378004
2024-01-05,0.0008785183380014673,-1.1270148857848769e-14,-6.092207805419745e-13,3.15245322166116e-15,-0.0001193857742768045,8.017299826244628e-15,-0.0,6.489631120793569e-14,7.569613394017108e-05,1.6669010518179072e-12,0.0006753722026624318,-0.0,-8.207505235716671e-16,-0.00014937759335536472,0.00013638911665396903,-0.0,0.001134157078404608,0.0002870279369378004
2024-01-06,-4.291582367714524e-05,2.695374288477003e-15,7.91249986809862e-14,2.7611075238127104e-15,-1.987121626421992e-05,1.141342644032813e-14,0.0,-3.054844533388221e-14,1.891380704163209e-05,2.3904180152976503e-12,0.0005562453434223061,0.0,4.4401517470061476e-16,-4.153809636682406e-05,0.0001632233179934673,,0.0005299485153052074,0.0002870279369378004
2024-01-07,-0.00027457710223010245,-4.046458487552888e-15,-5.102002077446204e-13,1.9739171316008237e-15,3.973364189968826e-05,-6.356984786587756e-15,-0.0,2.6078494555886467e-14,-0.00017020126941792027,8.285903927584575e-13,-0.0001615961743108697,0.0,-3.450046956040862e-16,0.00012465127321902513,9.942419407955583e-05,,-0.00015368742441611023,0.0002870279369378004
2024-01-08,-0.0019867873745963325,1.5267379052477788e-14,-5.434389800438973e-13,-3.357723382532697e-14,0.00015900490819076077,-8.040773220144785e-14,-0.0,4.7976870998902205e-14,0.0007952393817064554,7.241503850690403e-13,-0.0007973586455806274,-0.0,5.063951558361037e-15,-0.0017684734906224615,0.0011636690992977725,-0.0,-0.0016181859039472383,0.0002870279369378004
2024-01-09,0.0006164053075976016,-3.6997256962221585e-14,5.588361759035035e-13,8.209697519968144e-15,-0.002183557842473173,5.4877446771912855e-14,-0.0,-6.584287350676793e-14,0.00016944593834062398,-4.547048934391515e-12,-0.0004067740325038045,-0.0,-2.4062474173419234e-15,0.0006979398161788628,-0.00017632502572340183,-0.0,-0.0008118977087482237,0.0002870279369378004
2024-01-10,0.0007378687829383073,2.587067524092661e-14,-4.0324631431726054e-13,1.5677605499329263e-15,-0.0003369305057525105,2.314911395937723e-14,-0.0,-0.0,0.0022565480143288776,3.0167210515146346e-12,0.00010490383805290543,-0.0,-1.291321312713997e-15,0.0034807554385491535,0.0005927716599962914,0.0,0.004871250442624397,0.0002870279369378004
2024-01-11,-0.0036065773446905492,-1.7537109279878784e-14,3.234342212922213e-13,1.960658039974289e-14,-0.00020011174521646316,-2.644241972295625e-13,0.0,-1.174889724367138e-13,-0.0007032385974154779,2.692918776464987e-12,-0.004985024953866129,0.0,1.999931821896519e-15,-0.0005878236528819808,0.001503976581145035,-0.0,-0.0059190514161195995,0.0002870279369378004
