date,open,high,low,close,volume,SMA,EMA,RSI,MACD,MACD_signal,MACD_diff,BB_upper,BB_lower,BB_middle
2024-06-01,0.019945,0.01994,0.019725,0.0199,200894,,0.0199,,,,,,,
2024-06-02,0.019765,0.019995,0.019885,0.01992,174490,,0.019901904761904763,,,,,,,
2024-06-03,0.01993,0.019975,0.01892,0.019885,23626684,,0.0199002947845805,,,,,,,
2024-06-04,0.019835,0.020365,0.01971,0.02037,20077090,,0.019945028614620452,,,,,,,
2024-06-05,0.02045,0.02065,0.01997,0.02007,18830972,,0.019956930651323267,,,,,,,
2024-06-06,0.02003,0.0202,0.019965,0.02003,7145114,,0.01996388963691153,,,,,,,
2024-06-07,0.020125,0.020645,0.020125,0.0204,16226666,,0.02000542395720567,,,,,,,
2024-06-08,0.0204,0.02052,0.02039,0.020455,171124,,0.020048240723186082,,,,,,,
2024-06-09,0.02032,0.0207,0.02048,0.02067,240118,,0.020107455892406454,,,,,,,
2024-06-10,0.02063,0.020745,0.02012,0.02034,17090338,,0.020129602950272506,,,,,,,
2024-06-11,0.02028,0.02032,0.019595,0.01982,18538212,,0.02010011695500846,,,,,,,
2024-06-12,0.0199,0.01992,0.018875,0.01898,1621336,,0.01999343914976956,,,,,,,
2024-06-13,0.018895,0.02014,0.018895,0.020165,14796877,,0.020009778278362936,,,,,,,
2024-06-14,0.0202,0.02032,0.01997,0.02012,8491775,,0.02002027558518551,51.798917070722396,,,,,,
2024-06-15,0.020175,0.02025,0.020155,0.02022,123098,,0.020039296958024987,53.293170679741266,,,,,,
2024-06-16,0.020205,0.02028,0.02018,0.020225,137451,,0.02005698296202261,53.37100627459541,,,,,,
2024-06-17,0.020235,0.020595,0.02012,0.020395,12954069,,0.0200891750608776,56.05260971135861,,,,,,
2024-06-18,0.0204,0.0204,0.01965,0.019875,13829681,,0.020068777436032113,47.12510744196168,,,,,,
2024-06-19,0.019865,0.01987,0.01899,0.019245,16643507,,0.019990322442124293,39.01714839438215,,,,,,
2024-06-20,0.0193,0.01971,0.018885,0.019585,17108341,0.020033500000000003,0.01995172030477912,44.56083794374693,,,,0.020834593627486825,0.01923240637251318,0.020033500000000003
2024-06-21,0.019625,0.01976,0.01939,0.01946,6620050,0.0200115,0.01990488979956206,43.012720636988306,,,,0.02084937290205615,0.019173627097943853,0.0200115
2024-06-22,0.01951,0.019505,0.01939,0.019395,165435,0.01998525,0.019856328866270437,42.191864106822564,,,,0.02086480372206591,0.01910569627793409,0.01998525
2024-06-23,0.019385,0.019505,0.019355,0.019355,93224,0.01995875,0.019808583259958965,41.66491081877287,,,,0.020879748778500816,0.019037751221499186,0.01995875
2024-06-24,0.019445,0.01976,0.019395,0.019545,7951276,0.019917499999999998,0.019783480092343826,45.16803481179648,,,,0.020835021116923196,0.0189999788830768,0.019917499999999998
2024-06-25,0.01962,0.020465,0.01945,0.02047,16829233,0.019937500000000004,0.019848862940692033,58.29781071417858,,,,0.02088441340681184,0.01899058659318817,0.019937500000000004
2024-06-26,0.02052,0.02169,0.020485,0.02165,41858210,0.0200185,0.020020399803483267,68.62052905087407,8.181269111409012e-05,,,0.021224825412150466,0.018812174587849537,0.0200185
2024-06-27,0.02172,0.02172,0.021125,0.02126,28674426,0.0200615,0.02013845696505629,63.064230111504486,0.00016945706362064827,,,0.021375646491073194,0.018747353508926805,0.0200615
2024-06-28,0.02125,0.021605,0.02106,0.02114,17857421,0.020095750000000002,0.02023384201600331,61.416382317319226,0.00022662052283666315,,,0.02148281623850485,0.018708683761495155,0.020095750000000002
2024-06-29,0.021225,0.02122,0.021065,0.0211,187967,0.020117249999999996,0.020316333252574426,60.8456571665644,0.0002656332555804157,,,0.02155177248152477,0.018682727518475224,0.020117249999999996
2024-06-30,0.021195,0.021195,0.021065,0.021105,144945,0.0201555,0.02039144437137686,60.894575818197744,0.0002935704877234657,,,0.021651230256429944,0.018659769743570056,0.0201555
2024-07-01,0.021165,0.02136,0.0208,0.02131,17327468,0.02023,0.02047892585981716,62.93904105864068,0.0003284663762945332,,,0.021798142212938607,0.018661857787061396,0.02023
2024-07-02,0.02132,0.02132,0.02102,0.02101,5625078,0.0203315,0.020529504349358383,58.14800309686467,0.0003281316294337505,,,0.02182382737695185,0.01883917262304815,0.0203315
2024-07-03,0.021,0.02116,0.020295,0.020365,11857757,0.020341500000000002,0.02051383726846711,49.43501187651919,0.00027267698013332467,,,0.02183190967522356,0.018851090324776443,0.020341500000000002
2024-07-04,0.02037,0.02093,0.02033,0.020505,14549494,0.02036075,0.020512995623851196,51.146146966998735,0.00023729026652035898,0.00024089488938655444,-3.604622866195458e-06,0.021849162829157283,0.018872337170842718,0.02036075
